Language	meaning	word	word.clean
99	Aché_Phonemic	younger brother	pawe kbaeʔe tɨwɨpurãgi	pawekbaeʔetiwipuragi
2229	Aguaruna_Phonemic	eleven	'huinia dawɨn makičik ihuk	huiniadawinmakicikihuk
2231	Aguaruna_Phonemic	fifteen	'huinia dawɨn makičik amua	huiniadawinmakicikamua
1824	Aguaruna_Phonemic	ring (for finger)	c̷aham 'uwɨhnum 'patakum-tai	cahamuwihnumpatakumtai
6899	Armenian._Eastern_Phonemic	have sexual intercourse	ser̃ayin haraberutʰyun unenal	serayinharaberuŦyununenal
12874	Ayoreo_Phonemic	forgive	ĩi'roo pisiin̥aari-'ŋee-oneʔ	iiroopisiinaarineeoneʔ
12713	Ayoreo_Phonemic	hundred	čee'n̥a ayo're čeen̥a yim̥a'naa-y	ceenaayoreceenayimanaay
12772	Ayoreo_Phonemic	day-before-yesterday	dii'ri-ka gaa'teei kaa'seʔ	diirikagaateeikaaseʔ
12900	Ayoreo_Phonemic	learn	un̥u'sina a'kan̥a-'kee-ode eŋa i'peesu	unusinaakanakeeodeenaipeesu
20523	Bulgarian_Phonemic	far (adv)	daléko/ daléč/ daléče; nadaléko/ nadaléč/ nadaléče	dalekodalecdalece;nadalekonadalecnadalece
19767	Bulgarian_Phonemic	cousin	bratovčéd/ bratovčédka	bratovcedbratovcedka
20317	Bulgarian_Phonemic	press	natískam/ natísvam/ natísna; stískam/ stísna	natiskamnatisvamnatisna;stiskamstisna
20855	Bulgarian_Phonemic	command, order	zapovjádvam/ zapovjádam; [kománduvam]	zapovjadvamzapovjadam;
20856	Bulgarian_Phonemic	obey	podčinjávam/ podčinjá se; pokorjávam/ pokorjá se; slédvam; slúšam	podcinjavampodcinjase;pokorjavampokorjase;sledvam;slusam
20084	Bulgarian_Phonemic	knead	mésja, zamésvam/ zamésjam/ zamésja, máčkam	mesja;zamesvamzamesjamzamesja;mackam
20710	Bulgarian_Phonemic	anxiety, worry	bezpokójstvie/ bezpokójstvo; zagríženost; trevóga; ugríženost	bezpokojstviebezpokojstvo;zagrizenost;trevoga;ugrizenost
20290	Bulgarian_Phonemic	bend	izvívam/ izvíja (se); svívam/ svíja (se); nagə́rbvam/nagə́rbjam/ nagə́rna se	izvivamizvija;svivamsvija;nagərbvamnagərbjamnagərnase
20555	Bulgarian_Phonemic	change	menjá (se); izménjam/ izmenjá (se); proménjam/ promenjávam/ promenjá (se); sménjam/ smenjá	menja;izmenjamizmenja;promenjampromenjavampromenja;smenjamsmenja
20326	Bulgarian_Phonemic	bore	provərtjávam/ provə́rtam/ provərtjá; probívam/ probíja	provərtjavamprovərtamprovərtja;probivamprobija
20649	Bulgarian_Phonemic	sniff	dúša; [pomirísvam/ pomiríša]; [miríša]; podsmə́rčam/ podsmə́rkvam/ podsmə́rkna	dusa;;podsmərcampodsmərkvampodsmərkna
19996	Bulgarian_Phonemic	defecate	izxvə́rljam/ izxvə́rlja izpražnénija	izxvərljamizxvərljaizpraznenija
23188	Carib_De.kwana_Phonemic	fifteen	amohadəʔto dēwə hyatodea	amohadəʔtodewəhyatodea
40277	Chorote_Phonemic	day-before-yesterday	no oti c̷yuxa tom c̷axeye	nooticyuxatomcaxeye
43720	Dehong_Phonemic	coat	ho.1 phak.7 soŋ.1 ka.2 la.2 / ho.1 phak.7 mi.5	hophaksonkalahophakmi
52745	Estonian_Phonemic	have sexual intercourse	sugulises wahekor̃r̃as olema; nussima	suguliseswahekorrasolema;nussima
54055	Finnish_Phonemic	have sexual intercourse	olla sukupuoliühteüdessæ	ollasukupuoliuhteudessae
207130	Gawwada	sometimes	kuyaʕko toʔokko toʔokko	kuyaʕkotoʔokkotoʔokko
