Name:	Kotgarhi, also known as Kotgurui, Sodochi, Shodochi
SIL classification: 	Indo-European > Indo-Iranian > Indo-Aryan > Northern Zone > Western Pahari > Mahasu Pahari > Upper Mahasu Pahari > Kotgarhi
ISO 639-3 code:	No code
WALS classification:	Family: Indo-European > Genus: Indic
WALS coordinates: 	
Compiler:	Anju Saxena
Data entry personnel:	David Karlander
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	dunia, prīthɪ, prīthwɪ		The Amazon is the longest river in the world.
S01.210	the land	-		The captain sighted land in the distance. 
S01.212	the soil	maʈ:ɔ, maʈo, maʈ:ɪ, maʈ:e, zəmi:n		The soil is pretty good in this area.
S01.213	the dust	d'ʊ`ɭɔ, bəru:r, bərurɔ		The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	tsikɽɔ		His shoes were covered with mud.
S01.215	the sand	baɭu, re:t		There is sand on this part of the beach.
S01.220	the mountain or hill	pɔb:ət, pwa:ɽ		–
S01.222	the cliff or precipice	-		–
S01.230	the plain	ɟubəɽ, məda:n		–
S01.240	the valley	kjaɭɪ		The valley was surrounded by high mountains.
S01.250	the island	-		Sicily is a Mediterranean island.
S01.260	the mainland	-		–
S01.270	the shore	-		–
S01.280	the cave	o:l, ɖwa:r		The hunter lit a torch and entered the cave.
S01.310	the water	dzɔl:, paɳɪ	ci:ʃ 'thirst; in verse: water'	The inhabitants get their water from the river.
S01.320	the sea	-		The ship is sailing in the sea.
S01.322	calm	-		a calm sea
S01.323	rough(2)	-		a rough sea
S01.324	the foam	-		Foam formed on the polluted river.
S01.329	the ocean	səmudra, səmundər		The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	-		This lake's water is safe for drinking.
S01.340	the bay	-		–
S01.341	the lagoon	-		–
S01.342	the reef	-		The ship was wrecked on a reef.
S01.343	the cape	-		–
S01.350	the wave	-		The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	-		–
S01.353	the low tide	-		During low tide the rock is exposed.
S01.354	the high tide	-		The rock is not visible during high tide.
S01.360	the river or stream	dərɛu, nɛde, nɔd:ɪ, nɛ:		–
S01.362	the whirlpool	-		–
S01.370	the spring or well	kuɔ		–
S01.380	the swamp	-		Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	tshō, naɭʈo		The waterfall runs dry in the summer.
S01.410	the woods or forest	dzaŋgəl		There are many wild animals in the forest.
S01.430	the wood	dz'ūkhɽɔ		The table is made of wood.
S01.440	the stone or rock	pāt:hər, ʃāp:əɽ, ʃākɽa		–
S01.450	the earthquake	-		The house was destroyed by an earthquake.
S01.510	the sky	gɛ:ɳ, sɔ̄rəg		There were white clouds in the blue sky.
S01.520	the sun	dusɽu, sūrədz		The sun rises in the east.
S01.530	the moon	tsa:nd, tsɔnd, tsɔndər, dzɔ:th		The moon shone brightly in the clear night sky.
S01.540	the star	tarɔ		The stars shone brightly in the clear night sky.
S01.550	the lightning	bɪ:dz		I was momentarily blinded by the lightening.
S01.560	the thunder	gʊɽku		The thunder was deafening.
S01.570	the bolt of lightning	-		–
S01.580	the storm	pɔ:ɳ		It's more than just rain-it's a real storm!
S01.590	the rainbow	-		After the storm, a rainbow appeared in the sky.
S01.610	the light	prɛ̄ʃ:ɔ		The fire gave a bright light.
S01.620	the darkness	n'`ɛrɔ		After the sunset, darkness quickly fell.
S01.630	the shade or shadow	tshɛ̃:		–
S01.640	the dew	mɪl:		The trees were wet from the morning dew.
S01.710	the air	bagur, bagər, sɔ̄rəg		The air is cool and fresh here in the mountains.
S01.720	the wind	pɔ:ɳ, bagur, bagə		The wind blew so hard it knocked down the tree.
S01.730	the cloud	badəɭ		There were white clouds in the blue sky.
S01.740	the fog	ɖ'ʊ̃`ɪ 		The fog is so thick I can't see the road.
S01.750	the rain	paɳɪ		After the rain, the sun appeared again.
S01.760	the snow	ìũ		Snow fell all night and covered the city.
S01.770	the ice	ʃāɳ:		A layer of ice formed over the lake.
S01.780	the weather	-		I hope that tomorrow the weather will be nicer than today.
S01.810	the fire	a:g		The fire is brightly burning in the fireplace.
S01.820	the flame	lupe		The flames were so high they reached the helicopter.
S01.830	the smoke	d'ũ`ɔ		Heavy smoke billowed from the burning house.
S01.840	the ash	tshā:r, swā:		He let the cigarette ash fall on the floor.
S01.841	the embers	laɖu		–
S01.851	to burn(1)	dzaɭnõ, dzəɭauɳõ 		She burnt all her ex-boyfriend's old letters.
S01.852	to burn(2)	dz'ɔɭno, bɔɭnõ		Our house is burning! Call the fire fighters!
S01.860	to light	bəɭauɳõ		She lit a match.
S01.861	to extinguish	-		The fire fighters extinguished the fire.
S01.870	the match	-		–
S01.880	the firewood	dz'òkʈɪ		The boys collected firewood and built a bonfire.
S01.890	the charcoal	koilo, garʈhɔ, laɽu		This fireplace is lit by charcoal, not wood.
S02.100	the person	dzɔɳɔ		This table can be lifted by one person.
S02.210	the man	a:dmi, mɔrd		The man had a long beard.
S02.220	the woman	ʈhɔlɖɪ, dɔʃe		The woman wore a pretty dress.
S02.230	male(1)	-		I have ten male and twelve female students.
S02.240	female(1)	-		I have ten male and twelve female students.
S02.250	the boy	tsho:ʈu		One day this boy will grow to be a man.
S02.251	the young man	-		The young man was not married.
S02.260	the girl	tshoʈe, beʈ:ɪ, maẽ		One day this girl will grow to be a woman.
S02.261	the young woman 	-		
S02.270	the child(1)	chaŋgʈe,  chaŋgʈu,  paŋör	chaŋgʈe 'little girl, child', chaŋgʈu 'little boy, child', paŋör 'children'	Many children were playing in the water. 
S02.280	the baby	mɔũ	male baby, boy'	She's still a baby and can only have milk.
S02.310	the husband	a:dmi, bɔ:ʈu		She married her husband last year.
S02.320	the wife	d'ɔ̀:ɳ, bɔ:ʈɪ 		He married his wife last year.
S02.330	to marry	aɳnõ	to marry a woman'	She married a man 10 years her junior.
S02.340	the wedding	bɛ̄:, bja:		When we were married, a thousand people came to the wedding.
S02.341	the divorce	-		After the divorce, he married another woman.
S02.350	the father	ba:p, ba:b		My father came home late last night.
S02.360	the mother	ai, am:a, iɟe, ma:, maɪ		My mother came home late last night.
S02.370	the parents	-		My parents live in the village.
