 Name:	Hindi 
 SIL classification:	 Indo-European > Indo-Iranian  Indo-Aryan > Central zone > Western Hindi > Hindustani > Hindi 
 ISO 639-3 code:	 hin 
 WALS classification: 	 Family: Indo-European > Genus: Indic 
 WALS coordinates:  	 25° N, 77° E 
 Compiler:	 Anju Saxena 
 Data entry personnel: 	 Anju Saxena, Mohini Pimpalkhare 
 Source:	Anju Saxena
 License:	This work is licensed under a Creative Commons Attribution 3.0 Unported License 


S01.100	the world	जग, संसार, विश्व 	dʒag ,  sansaːr , viɕva	--
S01.210	the land	भूमि, थल	bʱuːmi , t̪ʰal 	--
S01.212	the soil	मिट्टी 	miʈʈiː 	--
S01.213	the dust	धूल, गर्द 	d̪ʱuːl , gard̪	--
S01.214	the mud	कीचड़	kiːtʃaɽ	--
S01.215	the sand	बालू , रेत 	baːluː , ret̪	--
S01.220	the mountain or hill	पहाड़ , पर्वत	pahaːɽ , parvat̪ 	--
S01.222	the cliff or precipice	चट्टान , शिला 	tʃaʈʈaːn̪ , ɕilaː 	--
S01.230	the plain	समतल , सपाट	samat̪al , sapaːʈ	--
S01.240	the valley	घाटी 	gʱaːʈiː 	--
S01.250	the island	द्वीप , टापू	d̪viːp , ʈaːpuː	--
S01.260	the mainland	मुख्य भूभाग	mukʰja bʱuːbʱaːg	--
S01.270	the shore	किनारा , तट 	kin̪aːraː ,  t̪aʈ	--
S01.280	the cave	गुफा  	gupʰaː 	--
S01.310	the water	पानी , नीर  	paːn̪iː , n̪iːr 	--
S01.320	the sea	समुद्र  	samud̪ra	--
S01.322	calm	शान्त	ɕaːn̪t̪	--
S01.323	rough(2)	अशांत 	aɕaːnt̪ 	--
S01.324	the foam	फेन , झाग  	pʰen̪  , dʒʱaːg	--
S01.329	the ocean	सागर	saːgar	--
S01.330	the lake	झील  	dʒʱiːl	--
S01.340	the bay	खाड़ी  	kʰaːɽiː 	--
S01.341	the lagoon	झील , लगून	dʒʱiːl , laguːn̪	--
S01.342	the reef	भित्ति , रिफ़ , शेल	bʱit̪t̪i , riːpʰ, ɕel	--
S01.343	the cape	अंतरीप  	ant̪ariːp 	--
S01.350	the wave	लहर  	lehar 	--
S01.352	the tide	ज्वार  	dʒvaːr 	--
S01.353	the low tide	भाटा  	bʱaːʈaː 	--
S01.354	the high tide	पूरबेला  	puːrabelaː	--
S01.360	the river or stream	दरिया, धारा, नदी	d̪arijɑː , d̪ʱaːraː , n̪ad̪iː	--
S01.362	the whirlpool	भंवर  	bʱan̪var	--
S01.370	the spring or well	चश्मा , झरना , कुआँ  	tʃaɕamaː , dʒʱaran̪aː , kuaːn̪ 	--
S01.380	the swamp	दलदल 	d̪ald̪al 	--
S01.390	the waterfall	झरना	dʒʱaran̪aː	--
S01.410	the woods or forest	बन , जंगल , वन	ban̪  , dʒaŋgal ,  van̪ 	--
S01.430	the wood	काठ , लकड़ी  	kaːʈʰ , lakaɽiː 	--
S01.440	the stone or rock	चट्टान  	tʃaʈʈaːn̪ 	--
S01.450	the earthquake	भूकंप  	bʱuːkamp 	--
S01.510	the sky	आकाश ,  आसमान ,  गगन  	aːkaːɕ , aːsamaːn̪ , gagan̪ 	--
S01.520	the sun	दिनेश , सूरज	d̪in̪eɕ, suːradʒ	--
S01.530	the moon	चंद्रमा , चांद  	tʃan̪d̪ramaː, tʃaːn̪d̪ 	--
S01.540	the star	नक्षत्र  , सितारा , तारा	n̪akɕat̪ra , sit̪aːraː , t̪aːraː 	--
S01.550	the lightning	बिजली , गाज	bidʒaliː , gaːdʒ	--
S01.560	the thunder	गरज , कड़क	garadʒ , kaɽak	--
S01.570	the bolt of lightning	बिजली , गाज	bidʒaliː , gaːdʒ	--
S01.580	the storm	आंधी  , झक्कड़  , तूफ़ान  	aːn̪d̪ʱiː , dʒʱakkaɽ ,  t̪uːpʰaːn̪ 	--
S01.590	the rainbow	इंद्रधनुष 	ind̪rad̪ʱan̪uʂ	--
S01.610	the light	ज्योति , रोशनी	dʒjot̪i , roɕan̪iː	--
S01.620	the darkness	अंधकार , अंधेरा  	an̪d̪ʱakaːr , an̪d̪ʱeraː 	--
S01.630	the shade or shadow	छाया , परछाईं , साया 	tʃʰaːjaː , paratʃʰaːiːn̪  ,  saːjaː 	--
S01.640	the dew	ओस , नीहार	os , n̪iːhaːr	--
S01.710	the air	अनिल , हवा	an̪il , havaː	--
S01.720	the wind	पवन , हवा	pavan̪ , havaː	--
S01.730	the cloud	बादल , मेघ  	baːd̪al , megʱ	--
S01.740	the fog	धुंध , कुहरा	d̪ʱun̪d̪ʱ , kuharaː	--
S01.750	the rain	बरसात , बारिश	barasaːt̪ , baːriɕ	--
S01.760	the snow	बर्फ़ , हिम  	barpʰ, him 	--
S01.770	the ice	बर्फ़  	barpʰ	--
S01.780	the weather	मौसम	mɔsam 	--
S01.810	the fire	अग्नि , आग	agn̪i , aːg 	--
S01.820	the flame	लपट , लौ	lapaʈ , lɔ	--
S01.830	the smoke	धुआं	d̪ʱuaːn̪ 	--
S01.840	the ash	भस्म , राख , विभूति	bʱasm , raːkʰ , vibʱuːt̪i	--
S01.841	the embers	अंगार	aŋgaːr	--
S01.851	to burn(1)	जलाना  	dʒalaːn̪aː	--
S01.852	to burn(2)	जलना  	dʒalan̪aː	--
S01.860	to light	जलाना  	dʒalaːn̪aː	--
S01.861	to extinguish	बुझाना 	bʱudʒʱaːn̪aː 	--
S01.870	the match	माचिस	maːtʃis	--
S01.880	the firewood	ईंधन  	iːn̪d̪ʱan̪  	--
S01.890	the charcoal	कोयला  	kojalaː 	--
S02.100	the person	आदमी , लोग	aːd̪amiː , log	--
S02.210	the man	आदमी , पुरुष , मर्द 	aːd̪amiː, puruʂ , mard̪   	--
S02.220	the woman	औरत , नारी , महिला	ɔːurat̪  , n̪aːriː , mahilaː	--
S02.230	male(1)	पुल्लिंग	pulliŋg	--
S02.240	female(1)	स्त्रैण	st̪raiɳ	--
S02.250	the boy	लड़का	laɽakaː	--
S02.251	the young man	युवक 	juvak	--
S02.260	the girl	लड़की 	laɽakiː	--
S02.261	the young woman 	युवती  	juvat̪iː 	--
S02.270	the child(1)	बच्चा 	batʃtʃaː	--
S02.280	the baby	बच्चा 	batʃtʃaː	--
S02.310	the husband	आदमी, पति	aːd̪amiː , pat̪i	--
S02.320	the wife	औरत , बीवी , पत्नी 	ɔːrat̪  , biːviː, pat̪n̪iː	--
S02.330	to marry	शादी करना, विवाह करना	ɕaːd̪iː karan̪aː, vivaːh karan̪aː	--
S02.340	the wedding	शादी , विवाह	ɕaːd̪iː , vivaːh	--
S02.341	the divorce	संबंध तोड़ना, तलाक	samban̪d̪ʱ t̪oɽan̪aː , t̪alaːk	--
S02.350	the father	बाबू , पिता	baːbuː , pit̪aː	--
S02.360	the mother	मां , माता	maːn̪ , maːt̪aː	--
S02.370	the parents	मां-बाप , माता-पिता	maːn̪-baːp , maːt̪aː-pit̪aː	--
S02.380	the married man	शादीशुदा आदमी	ɕaːd̪iːɕud̪aː aːd̪amiː	--
S02.390	the married woman	शादीशुदा औरत	ɕaːd̪iːɕud̪aː ɔːrat̪	--
S02.410	the son	बेटा , लड़का , पुत्र	beʈaː , laɽakaː , put̪ra	--
S02.420	the daughter	बेटी , लड़की	beʈiː , laɽakiː	--
S02.430	the child(2)	बच्चे	batʃtʃe	--
S02.440	the brother	भाई	bʱaːiː	--
S02.444	the older brother	बड़ा भाई	baɽaː bʱaːiː	--
S02.445	the younger brother	छोटा भाई	tʃʰoʈa: bʱa:i:	--
S02.450	the sister	बहन	bahan̪	--
S02.454	the older sister	बड़ी बहन	baɽiː bahan̪	--
S02.455	the younger sister	छोटी बहन	tʃʰoʈiː bahan̪	--
S02.456	the sibling	भाई-बहन	bʱaːi-bahan̪	--
S02.458	the twins	जुड़वा	dʒuɽvaː	--
