Name:   Tibetan
SIL classification:     Sino-Tibetan > Tibeto-Burman > Western Tibeto-Burman > Bodish > Central Bodish > Central
ISO 639-3 code: bod
WALS classification:    Family: Sino-Tibetan > Genus: Bodic
WALS coordinates:       29°50'N, 91°30'E
Compiler:       Anju Saxena
Data entry personnel:   David Karlander
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	dzam bu gliṅ	The Amazon is the longest river in the world.
S01.210	the land	gliṅ	The captain sighted land in the distance. 
S01.212	the soil	dol sa,  źiṅ sa	The soil is pretty good in this area.
S01.213	the dust	khyim sa, rdul	The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	-	His shoes were covered with mud.
S01.215	the sand	bye ma	There is sand on this part of the beach.
S01.220	the mountain or hill	la, ri	–
S01.222	the cliff or precipice	g.yaṅ, *g.yaṅs	–
S01.230	the plain	than ka	–
S01.240	the valley	luṅ khog, luṅ pa	The valley was surrounded by high mountains.
S01.250	the island	glin phran	Sicily is a Mediterranean island.
S01.260	the mainland	-	–
S01.270	the shore	chu 'gram	–
S01.280	the cave	brag phug	The hunter lit a torch and entered the cave.
S01.310	the water	chu	The inhabitants get their water from the river.
S01.320	the sea	rgya mtsho	The ship is sailing in the sea.
S01.322	calm	bol mo	a calm sea
S01.323	rough(2)	rtsub po , rtsub	a rough sea
S01.324	the foam	chu lbu ba, chu dbu ba	Foam formed on the polluted river.
S01.329	the ocean	rgya mtsho	The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	mtsho	This lake's water is safe for drinking.
S01.340	the bay	chu khug	–
S01.341	the lagoon	-	–
S01.342	the reef	-	The ship was wrecked on a reef.
S01.343	the cape	-	–
S01.350	the wave	chu ldeg	The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	-	–
S01.353	the low tide	-	During low tide the rock is exposed.
S01.354	the high tide	-	The rock is not visible during high tide.
S01.360	the river or stream	gtsang po	–
S01.362	the whirlpool	gtsug	–
S01.370	the spring or well	khron pa	–
S01.380	the swamp	dam	Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	chu phyar, chu 'phyar	The waterfall runs dry in the summer.
S01.410	the woods or forest	śiṅ nags	There are many wild animals in the forest.
S01.4110	the savanna	-	–
S01.430	the wood	śiṅ	The table is made of wood.
S01.440	the stone or rock	rdo(-ba)	–
S01.450	the earthquake	sa yoms	The house was destroyed by an earthquake.
S01.510	the sky	gnam	There were white clouds in the blue sky.
S01.520	the sun	ñi ma	The sun rises in the east.
S01.530	the moon	zla (OT also sla)	The moon shone brightly in the clear night sky.
S01.540	the star	skar ma	The stars shone brightly in the clear night sky.
S01.550	the lightning	skam glog	I was momentarily blinded by the lightening.
S01.560	the thunder, thunderstorm	chu thog, chem chem	The thunder was deafening.
S01.570	the bolt of lightning	glog	–
S01.580	the storm	rluṅ drag	It's more than just rain-it's a real storm!
S01.590	the rainbow	ja' tshon	After the storm, a rainbow appeared in the sky.
S01.610	the light	od	The fire gave a bright light.
S01.620	the darkness	mun	After the sunset, darkness quickly fell.
S01.630	the shade or shadow	grib phrag	–
S01.640	the dew	zil chu	The trees were wet from the morning dew.
S01.710	the air	rluṅ	The air is cool and fresh here in the mountains.
S01.720	the wind	rluṅ po	The wind blew so hard it knocked down the tree.
S01.730	the cloud	sprin	There were white clouds in the blue sky.
S01.740	the fog	mun ma	The fog is so thick I can't see the road.
S01.750	the rain	char pa	After the rain, the sun appeared again.
S01.760	the snow	kha-ba	Snow fell all night and covered the city.
S01.770	the ice	dar	A layer of ice formed over the lake.
S01.7710	the arctic lights	-	–
S01.7750	to freeze	khyag, 'khyags	It was so cold tonight that the entire lake froze.
S01.780	the weather	gnam ṅo	I hope that tomorrow the weather will be nicer than today.
S01.810	the fire	me	The fire is brightly burning in the fireplace.
S01.820	the flame	me lce	The flames were so high they reached the helicopter.
S01.830	the smoke	dud pa	Heavy smoke billowed from the burning house.
S01.8310	the steam	chu rlaṅs	The boiling water filled the room with steam.
S01.840	the ash	gog thal	He let the cigarette ash fall on the floor.
S01.841	the embers	me ro	–
S01.851	to burn(1)	*btug	She burnt all her ex-boyfriend's old letters.
S01.852	to burn(2)	dugs	Our house is burning! Call the fire fighters!
S01.860	to light	*btug	She lit a match.
S01.861	to extinguish	*btal	The fire fighters extinguished the fire.
S01.870	the match	bar gz´en	–
S01.880	the firewood	śiṅ	The boys collected firewood and built a bonfire.
S01.890	the charcoal	sol ba	This fireplace is lit by charcoal, not wood.
S01.99901	the beach	-	–
S01.99903	the coal	rdo sol	–
S01.99904	the constellation	skar ma	–
S01.99905	the jade or jadeite	gru dkar ~ *khrung dkar	–
S01.99906	the loam	jim pa	–
S01.99907	the river	chu bo	–
S01.99908	the river mouth	-	–
S01.99909	the short dry season	-	–
S01.99910	the spring	dpyid ka	–
S01.99911	to blaze	bar vi	–
S01.99912	to melt	źu vi	–
S02.100	the person	mi	This table can be lifted by one person.
S02.210	the man	mi	The man had a long beard.
S02.220	the woman	khyim pa mo, bu mo	The woman wore a pretty dress.
S02.230	male(1)	khyo ga	I have ten male and twelve female students.
S02.240	female(1)	mo	I have ten male and twelve female students.
S02.250	the boy	phru gu, phrug gu	One day this boy will grow to be a man.
S02.251	the young man	pho gsar	The young man was not married.
S02.260	the girl	CT bu-mo	One day this girl will grow to be a woman.
S02.261	the young woman 	śar mo	–
S02.270	the child(1)	byis pa	Many children were playing in the water. 
S02.280	the baby	byis pa	She's still a baby and can only have milk.
S02.310	the husband	-	She married her husband last year.
S02.320	the wife	CT mnav-ma 'bride'	He married his wife last year.
S02.330	to marry	-	She married a man 10 years her junior.
S02.340	the wedding	bag len	When we were married, a thousand people came to the wedding.
S02.341	the divorce	kha bcad	After the divorce, he married another woman.
S02.350	the father	a pha	My father came home late last night.
S02.360	the mother	ma	My mother came home late last night.
S02.370	the parents	pha ma	My parents live in the village.
S02.380	the married man	-	As a married man he had more privileges. 
S02.390	the married woman	khyim pa mo	As a married woman she had more privileges.
S02.410	the son	phrug, phruggu	I have one son and one daughter.
S02.420	the daughter	CT bu-mo	I have one son and one daughter.
S02.430	the child(2)	bu phrug	I have two children, a son and a daughter.
S02.440	the brother	pha miṅ	I have two brothers, one younger and one older than me.
