Name:	Bengali
SIL classification: 	Indo-European > Indo-Iranian > Indo-Aryan > Eastern zone > Bengali-Assamese > Bengali
ISO 639-3 code:	ben
WALS classification:	Family: Indo-European > Genus: Indic
WALS coordinates: 	24° N, 90° E
Compiler:	Anju Saxena
Data entry personnel:	Anju Saxena, Mohini Pimpalkhare
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License



S01.100	the world	বিশ্ব	biśba	The Amazon is the longest river in the world.		
S01.210	the land	জমি	jami	The captain sighted land in the distance. 		
S01.212	the soil	মাটি	māṭi	The soil is pretty good in this area.		
S01.213	the dust	ধুলো	dhulo	The house had not been cleaned and there was dust on the furniture.		
S01.214	the mud	মৃত্তিকা, কাদা	mr̖ttikā, kādā	His shoes were covered with mud.		
S01.215	the sand	বালি	bāli	There is sand on this part of the beach.		
S01.220	the mountain or hill	পর্বত, পাহাড়	parbata, pāhār̖ā	–		
S01.222	the cliff or precipice	পর্বত, পর্বতগাত্র	parbata, parbatagātra	–		
S01.230	the plain	সমতল	samatala	–		
S01.240	the valley	উপত্যকা	upatyakā	The valley was surrounded by high mountains.		
S01.250	the island	দ্বীপ	dbīpa	Sicily is a Mediterranean island.		
S01.260	the mainland	মূল ভূখন্ড	mūl bhūkhanḍa	–		
S01.270	the shore	তীর	tīra	–		
S01.280	the cave	গুহা	guhā	The hunter lit a torch and entered the cave.		
S01.310	the water	পানি, জল	pāni, jala	The inhabitants get their water from the river.		
S01.320	the sea	সমুদ্র, সাগর	samudra, sāgara	The ship is sailing in the sea.		
S01.322	calm	শান্ত	śānta	a calm sea		
S01.323	rough(2)	অশান্ত	aśānta 	a rough sea		
S01.324	the foam	ফেনা	phenā	Foam formed on the polluted river.		
S01.329	the ocean	সাগর, মহাসাগর	sāgara, mahāsāgara	The Pacific Ocean is larger than the Atlantic Ocean.		
S01.330	the lake	সরঃ, সরসী, দীঘি	dīghi	This lake's water is safe for drinking.		
S01.340	the bay	উপসাগর	upasāgara	–		
S01.341	the lagoon	উপহ্রদ	upahrada	–		
S01.342	the reef	প্রবাল	prabāla	The ship was wrecked on a reef.		
S01.343	the cape	অন্তরীপ	antarīpa	–		
S01.350	the wave	তরঙ্গ	taraṅga	The tallest waves are found in the Pacific Ocean. 		
S01.352	the tide	ঢেউ	ḍheu	–		
S01.353	the low tide	মরাকটাল	marākaṭāla	During low tide the rock is exposed.		
S01.354	the high tide	জোয়ার	joyāra	The rock is not visible during high tide.		
S01.360	the river or stream	নদী	nadī	–		
S01.362	the whirlpool	ঘূর্ণি	ghūrṇi	–		
S01.370	the spring or well	কুয়া	kuyā	–		
