Name:	Khasi			
SIL classification:	Austro-Asiatic > Mon-Khmer > Northern Mon-Khmer > Khasian > Khasi			
ISO 639-3 code:	kha			
WALS classification:	Family: Austro-Asiatic > Subfamily: Mon-Khmer > Genus: Khasian			
WALS coordinates:	25° 30′ N, 92° E			
Compiler:	Marantha T. Wahlang, Anju Saxena			
Data entry personnel:	Muhammad Rafiq, Marantha T. Wahlang			
Note 1:	“-“ describes echo words and compound words			
Note 2:	Nouns where the gender distinction is made, are provided here with the masculine gender (u)			
				
				
S01.100	the world	pyrthei	-	The amazon is the longest river in the world.
S01.210	the land	ryngkew	the hard surface of the earth, when compared to the area covered by sea	The captain sighted land in the distance. 
S01.212	the soil	khyndew	the substance that plants naturally grow in	The soil is pretty good in this area.
S01.213	the dust	dewmet	dry powder consisting of extremely small bits of matter, found outside or inside buildings	The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	ktieh	wet earth that has become soft and sticky	His shoes were covered with mud.
S01.215	the sand	(u) shyiap	-	There is sand on this part of the beach.
S01.220	the mountain or hill	(u) lúm	-	-
S01.222	the cliff or precipice	riat	a high rock with a very steep side (often near the sea)	-
S01.230	the plain	madan	expanse of level ground, open country	-
S01.240	the valley	pahám	-	The valley was surrounded by high mountains.
S01.250	the island	dewlynnong	-	Sicily is a mediterranean island.
S01.260	the mainland	-	the main area of land that forms a country, as compared to islands near it	-
S01.270	the shore	rud-duriaw	the land along the edge of a large body of water, such as an ocean or a lake	-
S01.280	the cave	krem	-	The hunter lit a torch and entered the cave.
S01.310	the water	um	drinking water	The inhabitants get their water from the river.
S01.320	the sea	duriaw	-	The ship is sailing in the sea.
S01.322	calm	thanda	smooth or having only gentle waves	A calm sea
S01.323	rough(2)	Sohkhruh-sohkhràm	with large waves	A rough sea
S01.324	the foam	-	-	Foam formed on the polluted river.
S01.329	the ocean	duriaw	any of the world's major bodies of salt water'; generally larger than 'sea	The pacific ocean is larger than the atlantic ocean.
S01.330	the lake	pung	-	This lake's water is safe for drinking.
S01.340	the bay	-	an area of the sea that curves inwards towards the land	-
S01.341	the lagoon	-	a body of sea water partly or completely separated from the sea by sand, rock etc., generally smaller than a bay	-
S01.342	the reef	(u) khah-um	a line mass of sharp rocks, often made of coral, near the surface of the sea	The ship was wrecked on a reef.
S01.343	the cape	-	a large piece of land surrounded on three sides by the sea	-
S01.350	the wave	jingat phyllúng	-	The tallest waves are found in the pacific ocean. 
S01.352	the tide	-	the regular rising and lowering of the level of the sea	-
S01.353	the low tide	-	-	During low tide the rock is exposed.
S01.354	the high tide	-	-	The rock is not visible during high tide.
S01.360	the river or stream	wah	-	-
S01.362	the whirlpool	-	a powerful current of water that spins around and can pull things down into it	-
S01.370	the spring or well	pukri	natural (spring) or artificial (well) source of water	-
S01.380	the swamp	ahor	-	Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	kshâit	-	The waterfall runs dry in the summer.
S01.410	the woods or forest	láw-bah	-	There are many wild animals in the forest.
S01.4110	the savanna	-	a large open grassland in tropical and subtropical regions	-
S01.430	the wood	dieng	material that people get from trees	The table is made of wood.
S01.440	the stone or rock	(u) máw-iap, mawbah or mawsiang	`	-
S01.450	the earthquake	(u) jumái	-	The house was destroyed by an earthquake.
S01.510	the sky	suiñ	-	There were white clouds in the blue sky.
S01.520	the sun	sngi	-	The sun rises in the east.
S01.530	the moon	(u) bynái	-	The moon shone brightly in the clear night sky.
S01.540	the star	(u) khlúr	-	The stars shone brightly in the clear night sky.
S01.550	the lightning	leilieh	-	I was momentarily blinded by the lightening.
S01.560	the thunder	(u) pyrthat	-	The thunder was deafening.
S01.570	the bolt of lightning	jingthaba-leilieh	a flash of lightning and a noise of thunder together, which hits something	-
