Name:	Marathi
SIL classification: 	Indo-European > Indo-Iranian > Indo-Aryan > Southern zone > Marathi
ISO 639-3 code:	mar
WALS classification:	Family: Indo-European > Genus: Indic
WALS coordinates: 	19° N, 76° E
Compiler:	Anju Saxena
Data entry personnel:	Mohini Pimpalkhare
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License


S01.100	the world	जग, विश्व	ʤaga, viʃwa		The Amazon is the longest river in the world.
S01.210	the land	जमीन	ʤamiːn̪a		The captain sighted land in the distance. 
S01.212	the soil	माती	maːt̪iː		The soil is pretty good in this area.
S01.213	the dust	धूळ	d̪ʱuːɭa		The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	चिखल	ʧikʰala		His shoes were covered with mud.
S01.215	the sand	रेती, वाळू	retiː, waːĮuː		There is sand on this part of the beach.
S01.220	the mountain or hill	पर्वत,डोंगर	parwata, ɖoŋgara		--
S01.222	the cliff or precipice	कडा	kaɖaː		--
S01.230	the plain	साधा, सरळ	saːd̪ʱaː, saraɭa		--
S01.240	the valley	दरी	d̪ariː		The valley was surrounded by high mountains.
S01.250	the island	बेट	beʈa		Sicily is a Mediterranean island.
S01.260	the mainland	मुख्य भूप्रदेश	mukʰya bʱuːprad̪eɕa		--
S01.270	the shore	किनारा, तट	kin̪aːraː, t̪aʈa		--
S01.280	the cave	गुहा 	guhaː		The hunter lit a torch and entered the cave.
S01.310	the water	पाणी, जल	paːɳiː, dʒala		The inhabitants get their water from the river.
S01.320	the sea	समुद्र, सागर	samud̪ra, saːgara		The ship is sailing in the sea.
S01.322	calm	शांत, स्थिर	ɕaːn̪t̪a, st̪ʰira		a calm sea
S01.323	rough(2)	खवलेला	kʰavalelaː		a rough sea
S01.324	the foam	फेस	pʰesa		Foam formed on the polluted river.
S01.329	the ocean	महासागर	mahaːsaːgara		The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	सरोवर	sarovara		This lake's water is safe for drinking.
S01.340	the bay	उपसागर	upasaːgara		--
S01.341	the lagoon	खार्‍या पाण्याचे सरोवर	kʰaːrjaː paːɳjaːtʃe sarovara		--
S01.342	the reef	-	-		The ship was wrecked on a reef.
S01.343	the cape	भुशिर	bʱuɕira		--
S01.350	the wave	लाट,  तरंग	laːʈa, t̪araŋa		The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	समुद्राची भरतीओहोटी	samud̪raːtʃiː bʱaratiːoʰoʈiː		--
S01.353	the low tide	समुद्राची ओहोटी	samud̪raːtʃiː ohoʈiː		During low tide the rock is exposed.
S01.354	the high tide	समुद्राची भरती	samud̪raːtʃiː bʱaratiː		The rock is not visible during high tide.
S01.360	the river or stream	नदी, प्रवाह	n̪ad̪iː, pravaːh		--
S01.362	the whirlpool	पाण्यातील भोवरा	paːɳjaːt̪iːl bʱovaraː		--
S01.370	the spring or well	झरा, विहीर	dʒʱara, vihiːra		--
S01.380	the swamp	दलदलीचा प्रदेश	d̪alad̪aliːtʃaː prad̪eɕa		Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	धबधबा	d̪ʱabad̪ʱabaː		The waterfall runs dry in the summer.
S01.410	the woods or forest	वन, रान, अरण्य	van̪a, raːn̪a, araɳja		There are many wild animals in the forest.
S01.4110	the savanna	मोठा गवताळ प्रदेश	moʈʰaː gavat̪aːɭa prad̪eɕa		--
S01.430	the wood	लाकूड	laːkuːɖa		The table is made of wood.
S01.440	the stone or rock	खडक, दगड	kʰaɖaka, d̪agaɖa		--
S01.450	the earthquake	भूकंप	bʱuːkampa		The house was destroyed by an earthquake.
S01.510	the sky	आकाश, नभ	aːkaːɕa, n̪abʱa		There were white clouds in the blue sky.
S01.520	the sun	अरुण, सूर्य	aruːɳa, suːrja		The sun rises in the east.
S01.530	the moon	चंद्र	tʃan̪d̪ra		The moon shone brightly in the clear night sky.
S01.540	the star	तारा, चांदणी	t̪aːraː, t̪aːn̪d̪aɳiː		The stars shone brightly in the clear night sky.
S01.550	the lightning	वीज	viːdʒa		I was momentarily blinded by the lightening.
S01.560	the thunder	मेघगर्जना, मेघांचा गडगडाट	megʱagardʒan̪aː, megʱan̪tʃaː gaɖagaɖaːʈa		The thunder was deafening.
S01.570	the bolt of lightning	वीज	viːdʒa		--
S01.580	the storm	वादळ, तुफान	vaːd̪aɭa, tupʰaːn̪a		It's more than just rain-it's a real storm!
S01.590	the rainbow	इंद्रधनुष्य	in̪d̪rad̪ʱan̪uɕja		After the storm, a rainbow appeared in the sky.
S01.610	the light	प्रकाश,  दिवा	prakaːɕa, d̪ivaː		The fire gave a bright light.
S01.620	the darkness	अंधार, काळोख	an̪d̪ʱaːra, kaːɭokʰa		After the sunset, darkness quickly fell.
S01.630	the shade or shadow	सावली, छाया	saːvaliː, tʃʰaːjaː		--
S01.640	the dew	दव	d̪ava		The trees were wet from the morning dew.
S01.710	the air	हवा	havaː		The air is cool and fresh here in the mountains.
S01.720	the wind	वारा	vaːraː		The wind blew so hard it knocked down the tree.
S01.730	the cloud	ढग, लोट	ɖʱaga, loʈa		There were white clouds in the blue sky.
S01.740	the fog	दाट धुके	d̪aːʈ d̪ʱuke		The fog is so thick I can't see the road.
S01.750	the rain	पाउस	paːusa		After the rain, the sun appeared again.
S01.760	the snow	हिमरेषा	himareʂaː		Snow fell all night and covered the city.
