 Name:   Telugu
 SIL classification:     Dravidian > South-Central > Telugu
 ISO 639-3 code: tel
 WALS classification:    Family: Dravidian > Genus: South-Central Dravidian
 WALS coordinates:       16° N, 79° E
 Compiler        Anju Saxena
 Data entry personnel    David Karlander, Anju Saxena, K. Taraka Rama
 License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License


S01.100	the world	ila; kuwalayam; jagam, jagattu, jagati 	--	The Amazon is the longest river in the world.
S01.210	the land	bhuumi; neela;	bhuumi n. Earth; neela n. Land	The captain sighted land in the distance. 
S01.212	the soil	iriNam; uppucawDu; ubbaneela; erracawuDu; garapaneela; cawkaneela; tuwwa, duwwa, dubba 	iriNam n. saline soil, barren land; uppucawDu n. salty soil. ubbaneela n. marshy soil. erracawuDu n. red salty soil. garapaneela n. light gravelly soil. cawkaneela n. red sandy soil. tuwwa, duwwa, dubba n. ash coloured sandy soil.	The soil is pretty good in this area.
S01.213	the dust	awakaram; dummu; duwwa; duusaram; dhuuLi, duuLi; paamśuwu;   	--	The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	aDusu; dammu; pankam; banda; burada; rompi	--	His shoes were covered with mud.
S01.215	the sand	waaluka; isuka	isuka n. Sand	There is sand on this part of the beach.
S01.220	the mountain or hill	koNDa ; giri; nagam; parvatam	--	–
S01.222	the cliff or precipice	cariya	--	–
S01.230	the plain	maydaanam; samatalam	--	–
S01.240	the valley	koona; cariya; taTam; looya; loowa 	--	The valley was surrounded by high mountains.
S01.250	the island	diiwi; dwiipam; lanka	--	Sicily is a Mediterranean island.
S01.260	the mainland	-	--	–
S01.270	the shore	oDDu, kaTTa; kuulam; gaTTu; celiyalikaTTa; taTam; tiiram ; dari 	--	–
S01.280	the cave	kuharam; gahwaram; guha; bilam; loNDa 	--	The hunter lit a torch and entered the cave.
S01.310	the water	udakam; niiru; niillu	--	The inhabitants get their water from the river.
S01.320	the sea	ambudhi; abdhi; jalaraaśi; niiradhi; samudram; kadali	--	The ship is sailing in the sea.
S01.322	calm	nistaranga	--	a calm sea
S01.323	rough(2)	-	--	a rough sea
S01.324	the foam	nuccu; pheenam; nuraga	--	Foam formed on the polluted river.
S01.329	the ocean	apaarapaaraawaaram; jaladhi; payoodhi; mahaarNawam, mahaasamudram; waaraaśi	--	The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	kolanu; saraswati; cheruvu 	--	This lake's water is safe for drinking.
S01.340	the bay	akhaatam	--	–
S01.341	the lagoon	-	--	–
S01.342	the reef	-	--	The ship was wrecked on a reef.
S01.343	the cape	agram	--	–
S01.350	the wave	ala; keraTam; tarangam, taraga; tera 	--	The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	pooTu; weelaa; ala	--	–
S01.353	the low tide	nimna; aaTu	--	During low tide the rock is exposed.
S01.354	the high tide	pooTu;	--	The rock is not visible during high tide.
S01.360	the river or stream	eeru; nadi	--	–
S01.362	the whirlpool	aawartam; sujñaanam, suDiguNDam 	--	–
S01.370	the spring or well	uurabaawi; baawi, nuyyi	--	–
S01.380	the swamp	gummi	--	Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	jalapaatam; jharam, jhari 	--	The waterfall runs dry in the summer.
S01.410	the woods or forest	aDawi, aTawi; kaantaaram, kaana[nam]; gahana[m]  	--	There are many wild animals in the forest.
S01.4110	the savanna	-	--	–
S01.430	the wood	karra; kalapa; kaTTa	--	The table is made of wood.
S01.440	the stone or rock	upalam; caTTu; raayi; banDa	--	–
S01.450	the earthquake	bhuukampam	--	The house was destroyed by an earthquake.
S01.510	the sky	ambaram; aakasam; aakaaśam; upparam; gaganam; diwam; nabham  	--	There were white clouds in the blue sky.
S01.520	the sun	aruNuDu, arkam, arkuDu; suuryuDu	--	The sun rises in the east.
S01.530	the moon	amṛtaamśuwu, indu; candamaama	candamaama n. 1 child language moon	The moon shone brightly in the clear night sky.
S01.540	the star	taara; nakSatram; rikka; cukka	--	The stars shone brightly in the clear night sky.
S01.550	the lightning	taTittu; piDugu; merupu, merapu; śampa; sawdaamini 	--	I was momentarily blinded by the lightening.
S01.560	the thunder	urumu	--	The thunder was deafening.
S01.570	the bolt of lightning	taTillata; meruputiiga; widyullata 	--	–
S01.580	the storm	tupaanu, tuphaanu; hoorugaali, oorugaali 	--	It's more than just rain-it's a real storm!
S01.590	the rainbow	indradhanassu; koraDu; hariwillu;  koraDu	--	After the storm, a rainbow appeared in the sky.
S01.610	the light	welugu, weluturn, welturu: śoobha 	--	The fire gave a bright light.
S01.620	the darkness	andhakaaram; irulu; tamassu; chiikaTi	--	After the sunset, darkness quickly fell.
S01.630	the shade or shadow	tamassu; niiDapaTTu; niiDa	--	–
S01.640	the dew	tuSaaram; mancu; himam 	--	The trees were wet from the morning dew.
S01.710	the air	pawanam; waatam; śwasanam; gaali	--	The air is cool and fresh here in the mountains.
S01.720	the wind	anilam; gaaDpu; waayuwu	--	The wind blew so hard it knocked down the tree.
S01.730	the cloud	jaladharam; jiimuutam; tooyadam; dhaaraadharam; niiradam; meegham  	--	There were white clouds in the blue sky.
S01.740	the fog	pogamancu	--	The fog is so thick I can't see the road.
S01.750	the rain	cinuku; vaana; varsham;	--	After the rain, the sun appeared again.
S01.760	the snow	niihaaram; mancu;	--	Snow fell all night and covered the city.
S01.770	the ice	mancu; himam 	--	A layer of ice formed over the lake.
S01.7710	the arctic lights	-	--	–
S01.7750	to freeze	gaDDakaTTu; ghaniibhawincu 	--	It was so cold tonight that the entire lake froze.
S01.780	the weather	waataawaraNam; waayusthiti	--	I hope that tomorrow the weather will be nicer than today.
S01.810	the fire	angaaram; aggi, agni, agnikuNDam, agnihootram; analam; nippu	--	The fire is brightly burning in the fireplace.
S01.820	the flame	agnijwaala; kiila; ciccu; jwaala; maNTa 	--	The flames were so high they reached the helicopter.
S01.830	the smoke	dhuumam;poga 	--	Heavy smoke billowed from the burning house.
S01.8310	the steam	aawi, aawiri; 	--	The boiling water filled the room with steam.
S01.840	the ash	buuDida;	--	He let the cigarette ash fall on the floor.
S01.841	the embers	kappina nippu	niwuru, niguru n. class. ashes; ~ kappina nippu burning embers covered by ashes, hidden fire	–
S01.851	to burn(1)	kaalcu; manDu	manDu v. The house is burning.	She burnt all her ex-boyfriend's old letters.
S01.852	to burn(2)	jwalincu	--	Our house is burning! Call the fire fighters!
S01.860	to light	aNTapeTTu, aNTincu; kaalcu 	--	She lit a match.
S01.861	to extinguish	aarcu, aarpu; callaarcu 	--	The fire fighters extinguished the fire.
S01.870	the match	aggipulla; nippupulla, nippulla 	--	–
S01.880	the firewood	kaTTe; cituku; pulla 	cituku1, ciduku1 n., gen. pl. ~ lu dry sticks or twigs, firewood.	The boys collected firewood and built a bonfire.
S01.890	the charcoal	angaaram; kaTTeboggu; boggu 	--	This fireplace is lit by charcoal, not wood.
S01.99903	the coal	neelaboggu; boggu; raakSasiboggu 	--	--
S01.99904	the constellation	ṛkSam; nakSatram, nakSatramaNDalam; raaśi, raasi 	--	--
S01.99905	the jade or jadeite	-	--	--
S01.99907	the river	eeru; nadi	--	--
S01.99910	the spring	aamani	--	--
S02.100	the person	naramaanawuDu	human being	This table can be lifted by one person.
S02.210	the man	maniSi;	--	The man had a long beard.
S02.220	the woman	angana; atiwa; aliweeNi; aaDadi; tiigabooDi; togakaNTi; dayta; nawala; naari; polati; pramada  	--	The woman wore a pretty dress.
S02.230	male(1)	gaNDu	--	I have ten male and twelve female students.
S02.240	female(1)	peNTi	--	I have ten male and twelve female students.
S02.250	the boy	abbaayi; kurra, kurrawaaDu, kurraaDu; baaluDu;	--	One day this boy will grow to be a man.
S02.251	the young man	kiśooruDu; taruNuDu; nawayuwakuDu; yawwanuDu; yuwakuDu	--	The young man was not married.
