Name:   Nepali
SIL classification:     Indo-European > Indo-Iranian > Indo-Aryan > Northern zone > Eastern Pahari > Nepali
ISO 639-3 code: nep
WALS classification:    Family: Indo-European > Genus: Indic
WALS coordinates:       28° N, 85° E
Compiler:       Anju Saxena
Data entry personnel:   Anju Saxena
License:       This work is licensed under a Creative Commons Attribution 3.0 Unported License

S01.100	the world	pṛthibī	The Amazon is the longest river in the world.
S01.210	the land	jamina	The captain sighted land in the distance. 
S01.212	the soil	jamina	The soil is pretty good in this area.
S01.213	the dust	dhūlō	The house had not been cleaned and there was dust on the furniture.
S01.214	the mud	māṭō	His shoes were covered with mud.
S01.215	the sand	bāluvā	There is sand on this part of the beach.
S01.220	the mountain or hill	pahāḍa	–
S01.222	the cliff or precipice	bhīra	–
S01.230	the plain	maidāna	–
S01.240	the valley	upatyakā	The valley was surrounded by high mountains.
S01.250	the island	tápu	Sicily is a Mediterranean island.
S01.260	the mainland	-	–
S01.270	the shore	ghāṭa	–
S01.280	the cave	guphā	The hunter lit a torch and entered the cave.
S01.310	the water	pānī 	The inhabitants get their water from the river.
S01.320	the sea	samudra	The ship is sailing in the sea.
S01.322	calm	madhurō	a calm sea
S01.323	rough(2)	apṭhyārō	a rough sea
S01.324	the foam	phīñja 	Foam formed on the polluted river.
S01.329	the ocean	samudra	The Pacific Ocean is larger than the Atlantic Ocean.
S01.330	the lake	tāla	This lake's water is safe for drinking.
S01.340	the bay	-	–
S01.341	the lagoon	-	–
S01.342	the reef	-	The ship was wrecked on a reef.
S01.343	the cape	-	–
S01.350	the wave	taranga	The tallest waves are found in the Pacific Ocean. 
S01.352	the tide	-	–
S01.353	the low tide	-	During low tide the rock is exposed.
S01.354	the high tide	-	The rock is not visible during high tide.
S01.360	the river or stream	nadī 	–
S01.362	the whirlpool	-	–
S01.370	the spring or well	ināra	–
S01.380	the swamp	gaddar	Be careful, there are crocodiles in the swamp.
S01.390	the waterfall	jhanār	The waterfall runs dry in the summer.
S01.410	the woods or forest	jaṅgala	There are many wild animals in the forest.
S01.430	the wood	kāṭha	The table is made of wood.
S01.440	the stone or rock	patthara 	–
S01.450	the earthquake	bhūkampa 	The house was destroyed by an earthquake.
S01.510	the sky	ākāśa 	There were white clouds in the blue sky.
S01.520	the sun	ghāma	The sun rises in the east.
S01.530	the moon	candramā 	The moon shone brightly in the clear night sky.
S01.540	the star	tārā 	The stars shone brightly in the clear night sky.
S01.550	the lightning	caṭyāṅa 	I was momentarily blinded by the lightening.
S01.560	the thunder	gaḍyāṅaguḍuṅa 	The thunder was deafening.
S01.570	the bolt of lightning	caṭyāṅa 	–
S01.580	the storm	ān̐dhī 	It's more than just rain-it's a real storm!
S01.590	the rainbow	indrēnī 	After the storm, a rainbow appeared in the sky.
S01.610	the light	ujyālō 	The fire gave a bright light.
S01.620	the darkness	andhakāra 	After the sunset, darkness quickly fell.
S01.630	the shade or shadow	chāyā 	–
S01.640	the dew	sit, os	The trees were wet from the morning dew.
S01.710	the air	hāvā 	The air is cool and fresh here in the mountains.
S01.720	the wind	batāsa 	The wind blew so hard it knocked down the tree.
S01.730	the cloud	bādala 	There were white clouds in the blue sky.
S01.740	the fog	kuirō or hussu	The fog is so thick I can't see the road.
S01.750	the rain	pānī 	After the rain, the sun appeared again.
S01.760	the snow	hiu 	Snow fell all night and covered the city.
S01.770	the ice	barapha 	A layer of ice formed over the lake.
S01.780	the weather	mausama 	I hope that tomorrow the weather will be nicer than today.
S01.810	the fire	āgō 	The fire is brightly burning in the fireplace.
S01.820	the flame	āgō 	The flames were so high they reached the helicopter.
S01.830	the smoke	dhūvā 	Heavy smoke billowed from the burning house.
S01.840	the ash	kharānī 	He let the cigarette ash fall on the floor.
S01.841	the embers	-	–
S01.851	to burn(1)	jalāunu	She burnt all her ex-boyfriend's old letters.
S01.852	to burn(2)	jalnu	Our house is burning! Call the fire fighters!
S01.860	to light	jalāunu	She lit a match.
S01.861	to extinguish	nibhāunu	The fire fighters extinguished the fire.
S01.870	the match	kān̐ṭī	–
S01.880	the firewood	dāurā	The boys collected firewood and built a bonfire.
S01.890	the charcoal	kōilā	This fireplace is lit by charcoal, not wood.
S02.100	the person	puruṣa	This table can be lifted by one person.
S02.210	the man	nara	The man had a long beard.
S02.220	the woman	āimāī	The woman wore a pretty dress.
S02.230	male(1)	nara	I have ten male and twelve female students.
S02.240	female(1)	chōrī 	I have ten male and twelve female students.
S02.250	the boy	kēṭō	One day this boy will grow to be a man.
S02.251	the young man	tandērī	The young man was not married.
S02.260	the girl	kēṭī 	One day this girl will grow to be a woman.
S02.261	the young woman 	taruni 	–
S02.270	the child(1)	baccā 	Many children were playing in the water. 
S02.280	the baby	baccā 	She's still a baby and can only have milk.
S02.310	the husband	pōi 	She married her husband last year.
S02.320	the wife	badhū 	He married his wife last year.
S02.330	to marry	-	She married a man 10 years her junior.
S02.340	the wedding	bihā 	When we were married, a thousand people came to the wedding.
S02.341	the divorce	parapacuke	After the divorce, he married another woman.
S02.350	the father	bābu 	My father came home late last night.
S02.360	the mother	āmā 	My mother came home late last night.
S02.370	the parents	ámábábu	My parents live in the village.
S02.380	the married man	-	As a married man he had more privileges. 
S02.390	the married woman	-	As a married woman she had more privileges.
S02.410	the son	putra	I have one son and one daughter.
S02.420	the daughter	chōrī 	I have one son and one daughter.
S02.430	the child(2)	baccā 	I have two children, a son and a daughter.
S02.440	the brother	dájyu, dái; bhái	I have two brothers, one younger and one older than me. Older; younger
S02.444	the older brother	dāi 	My older brother is married, but my younger brother still lives at home.
