ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-510-1,darg1241,Dargwa (Mugi dialect),1852,гьаман,CyrillTrans,often,,,haman,Phonemic
14-310-510-1,darg1241,Dargwa (Mugi dialect),1676,мурталра,CyrillTrans,always,,,murtalra,Phonemic
14-290-510-1,darg1241,Dargwa (Mugi dialect),790,хІядурил,CyrillTrans,ready,,,ħaˁduril,Phonemic
14-280-510-1,darg1241,Dargwa (Mugi dialect),1928,тІашкелзес,CyrillTrans,"cease, stop",,,t’aškelzes,Phonemic
14-270-510-1,darg1241,Dargwa (Mugi dialect),1766,абирхьахъес,CyrillTrans,finish,,,abirx̌aqes,Phonemic
14-260-510-1,darg1241,Dargwa (Mugi dialect),743,тамаэс,CyrillTrans,end (temporal),,,tamaʔes,Phonemic
14-252-510-1,darg1241,Dargwa (Mugi dialect),1186,гІиркъабитІес,CyrillTrans,"last, endure",,,ʕirq̄abit’es,Phonemic
14-250-510-1,darg1241,Dargwa (Mugi dialect),1806,бехІбихьуд,CyrillTrans,"begin, beginning",,,"beħbix̌ud, beħbix̌es",Phonemic
14-250-510-3,darg1241,Dargwa (Mugi dialect),1806,бехІбихьес,CyrillTrans,"begin, beginning",,,"beħbix̌ud, beħbix̌es",Phonemic
14-240-510-1,darg1241,Dargwa (Mugi dialect),425,тІашкІаэс,CyrillTrans,"retard, delay",,,t’ašk’aʔes,Phonemic
14-230-510-1,darg1241,Dargwa (Mugi dialect),754,къалабаикІес,CyrillTrans,"hasten, hurry",,,q̄alabaik’es,Phonemic
14-220-510-1,darg1241,Dargwa (Mugi dialect),701,багьлал,CyrillTrans,slow,,,bahlal,Phonemic
14-210-510-1,darg1241,Dargwa (Mugi dialect),1631,къалабал,CyrillTrans,"swift, fast, quick",,,q̄alabal,Phonemic
14-190-510-1,darg1241,Dargwa (Mugi dialect),1963,хъярхъли,CyrillTrans,immediately,,,qaˁrqli,Phonemic
14-180-510-1,darg1241,Dargwa (Mugi dialect),1376,гьенехІе,CyrillTrans,now,,,heneħe,Phonemic
14-170-510-1,darg1241,Dargwa (Mugi dialect),477,кьай,CyrillTrans,late,,,q’ay,Phonemic
14-160-510-1,darg1241,Dargwa (Mugi dialect),672,жявли,CyrillTrans,early,,,žaˁwli,Phonemic
14-150-510-1,darg1241,Dargwa (Mugi dialect),1229,ухъна,CyrillTrans,old,,,uqna,Phonemic
14-140-510-1,darg1241,Dargwa (Mugi dialect),1207,жагьил,CyrillTrans,young,,,žahil,Phonemic
14-120-510-1,darg1241,Dargwa (Mugi dialect),1789,жявла замана,CyrillTrans,age,,,"žaˁwla zamana, daršdus",Phonemic
14-120-510-3,darg1241,Dargwa (Mugi dialect),1789,даршдус,CyrillTrans,age,,,"žaˁwla zamana, daršdus",Phonemic
14-130-510-1,darg1241,Dargwa (Mugi dialect),1231,сагал,CyrillTrans,new,,,sagal,Phonemic
14-110-510-1,darg1241,Dargwa (Mugi dialect),892,замана,CyrillTrans,time,,,zamana,Phonemic
13-440-510-1,darg1241,Dargwa (Mugi dialect),417,хІяйна,CyrillTrans,three times,,,ħaˁyna,Phonemic
13-420-510-1,darg1241,Dargwa (Mugi dialect),1859,хІябъибил,CyrillTrans,third,,,ħaˁbɁibil,Phonemic
13-380-510-1,darg1241,Dargwa (Mugi dialect),1546,кІина,CyrillTrans,two times,,,k’ina,Phonemic
13-370-510-1,darg1241,Dargwa (Mugi dialect),1888,балги,CyrillTrans,pair,,,balgi,Phonemic
13-360-510-1,darg1241,Dargwa (Mugi dialect),1384,кІиибил,CyrillTrans,second,,,k’iʔibil,Phonemic
13-350-510-1,darg1241,Dargwa (Mugi dialect),1529,бегІла гІергъиси,CyrillTrans,last,,,beʕla ʕerɣisi,Phonemic
13-340-510-1,darg1241,Dargwa (Mugi dialect),728,цаибил,CyrillTrans,first,,,caibil,Phonemic
13-330-510-1,darg1241,Dargwa (Mugi dialect),1580,ца лебсигъуна,CyrillTrans,"alone, only",,,ca lebsiɣuna,Phonemic
13-240-510-1,darg1241,Dargwa (Mugi dialect),816,багІихъала,CyrillTrans,half,,,baʕiqala,Phonemic
13-230-510-1,darg1241,Dargwa (Mugi dialect),779,бутІа,CyrillTrans,"part, piece",,,but’a,Phonemic
13-220-510-1,darg1241,Dargwa (Mugi dialect),1624,бацІил,CyrillTrans,empty,,,bac’il,Phonemic
