ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-532-1,tsak1249,Tsakhur (Gelmets dialect),1852,ара-ара,CyrillTrans,often,,,ara-ara,Phonemic
14-310-532-1,tsak1249,Tsakhur (Gelmets dialect),1676,гьаммаше,CyrillTrans,always,,,hammaše,Phonemic
14-290-532-1,tsak1249,Tsakhur (Gelmets dialect),790,гьазирна,CyrillTrans,ready,,,hazirna,Phonemic
14-280-532-1,tsak1249,Tsakhur (Gelmets dialect),1928,явашхьез,CyrillTrans,"cease, stop",,,yawašx̌ez,Phonemic
14-270-532-1,tsak1249,Tsakhur (Gelmets dialect),1766,гъатихьанаъаз,CyrillTrans,finish,,,ɣatix̌anaɁaz,Phonemic
14-260-532-1,tsak1249,Tsakhur (Gelmets dialect),743,гъатихьанаъаз,CyrillTrans,end (temporal),,,ɣatix̌anaɁaz,Phonemic
14-252-532-1,tsak1249,Tsakhur (Gelmets dialect),1186,хилли гьихьез,CyrillTrans,"last, endure",,,xilli hix̌ez,Phonemic
14-250-532-1,tsak1249,Tsakhur (Gelmets dialect),1806,гигъаназ,CyrillTrans,"begin, beginning",,,giɣanaz,Phonemic
14-240-532-1,tsak1249,Tsakhur (Gelmets dialect),425,эгланхьез,CyrillTrans,"retard, delay",,,eglanx̌ez,Phonemic
14-230-532-1,tsak1249,Tsakhur (Gelmets dialect),754,дарахмишеъаз,CyrillTrans,"hasten, hurry",,,daraxmišeʔaz,Phonemic
14-220-532-1,tsak1249,Tsakhur (Gelmets dialect),701,явашна,CyrillTrans,slow,,,yawašna,Phonemic
14-210-532-1,tsak1249,Tsakhur (Gelmets dialect),1631,дирына,CyrillTrans,"swift, fast, quick",,,dirɨna,Phonemic
14-190-532-1,tsak1249,Tsakhur (Gelmets dialect),1963,быссагьат,CyrillTrans,immediately,,,bɨs̄ahat,Phonemic
14-180-532-1,tsak1249,Tsakhur (Gelmets dialect),1376,гьаште,CyrillTrans,now,,,hašte,Phonemic
14-170-532-1,tsak1249,Tsakhur (Gelmets dialect),477,гежда,CyrillTrans,late,,,gežda,Phonemic
14-160-532-1,tsak1249,Tsakhur (Gelmets dialect),672,экьда,CyrillTrans,early,,,eqʼda,Phonemic
14-150-532-1,tsak1249,Tsakhur (Gelmets dialect),1229,кьасна,CyrillTrans,old,,,qʼasna,Phonemic
14-140-532-1,tsak1249,Tsakhur (Gelmets dialect),1207,джегьил’,CyrillTrans,young,,,ӡ̌ehilʲ,Phonemic
14-120-532-1,tsak1249,Tsakhur (Gelmets dialect),1789,асар,CyrillTrans,age,,,"asar, sen",Phonemic
14-120-532-3,tsak1249,Tsakhur (Gelmets dialect),1789,сен,CyrillTrans,age,,,"asar, sen",Phonemic
14-130-532-1,tsak1249,Tsakhur (Gelmets dialect),1231,цІедын’,CyrillTrans,new,,,c̛edɨnʲ,Phonemic
14-110-532-1,tsak1249,Tsakhur (Gelmets dialect),892,вахт,CyrillTrans,time,,,waxt,Phonemic
13-440-532-1,tsak1249,Tsakhur (Gelmets dialect),417,хьебаъаз,CyrillTrans,three times,,,x̌ebaɁaz,Phonemic
13-420-532-1,tsak1249,Tsakhur (Gelmets dialect),1859,хьебытІезна,CyrillTrans,third,,,x̌ebɨt’ezna,Phonemic
13-380-532-1,tsak1249,Tsakhur (Gelmets dialect),1546,кьоъаз,CyrillTrans,two times,,,qʼoɁaz,Phonemic
13-370-532-1,tsak1249,Tsakhur (Gelmets dialect),1888,чут’,CyrillTrans,pair,,,čutʲ,Phonemic
13-360-532-1,tsak1249,Tsakhur (Gelmets dialect),1384,кьотІезна,CyrillTrans,second,,,qʼot’ezna,Phonemic
13-350-532-1,tsak1249,Tsakhur (Gelmets dialect),1529,хъикена,CyrillTrans,last,,,qikena,Phonemic
13-340-532-1,tsak1249,Tsakhur (Gelmets dialect),728,цІеррайна,CyrillTrans,first,,,c’errayna,Phonemic
13-330-532-1,tsak1249,Tsakhur (Gelmets dialect),1580,са,CyrillTrans,"alone, only",,,sa,Phonemic
13-240-532-1,tsak1249,Tsakhur (Gelmets dialect),816,сура,CyrillTrans,half,,,sura,Phonemic
13-230-532-1,tsak1249,Tsakhur (Gelmets dialect),779,сура,CyrillTrans,"part, piece",,,sura,Phonemic
13-220-532-1,tsak1249,Tsakhur (Gelmets dialect),1624,кьарадын,CyrillTrans,empty,,,qʼaradɨn,Phonemic
13-210-532-1,tsak1249,Tsakhur (Gelmets dialect),1429,гяцыйин’,CyrillTrans,full,,,gʲyacɨyinʲ,Phonemic
13-190-532-1,tsak1249,Tsakhur (Gelmets dialect),2023,хатта,CyrillTrans,"multitude, crowd",,,xat̄a,Phonemic
13-181-532-1,tsak1249,Tsakhur (Gelmets dialect),1241,сыкІылда,CyrillTrans,some,,,sɨk’ɨlda,Phonemic
13-170-532-1,tsak1249,Tsakhur (Gelmets dialect),1242,кІылда,CyrillTrans,"little (quantity), few",,,k’ɨlda,Phonemic
13-180-532-1,tsak1249,Tsakhur (Gelmets dialect),1881,хатта,CyrillTrans,enough,,,"xat̄a, č’ew",Phonemic
13-180-532-3,tsak1249,Tsakhur (Gelmets dialect),1881,чІев,CyrillTrans,enough,,,"xat̄a, č’ew",Phonemic
13-160-532-1,tsak1249,Tsakhur (Gelmets dialect),1992,хатта,CyrillTrans,more,,,xat̄a,Phonemic
13-150-532-1,tsak1249,Tsakhur (Gelmets dialect),1198,хатта,CyrillTrans,"much, many",,,xat̄a,Phonemic
13-140-532-1,tsak1249,Tsakhur (Gelmets dialect),98,хыргынби,CyrillTrans,"every, all",,,xɨrgɨnbi,Phonemic
13-107-532-1,tsak1249,Tsakhur (Gelmets dialect),1420,гьысабаъаз,CyrillTrans,count,,,hɨsabaʔaz,Phonemic
13-106-532-1,tsak1249,Tsakhur (Gelmets dialect),1843,аъазыр,CyrillTrans,thousand,,,aʔazɨr,Phonemic
13-105-532-1,tsak1249,Tsakhur (Gelmets dialect),1634,ващ,CyrillTrans,hundred,,,waš̄,Phonemic
13-104-532-1,tsak1249,Tsakhur (Gelmets dialect),1710,къале,CyrillTrans,twenty,,,q̄ale,Phonemic
13-103-532-1,tsak1249,Tsakhur (Gelmets dialect),1709,йицІыхьобле,CyrillTrans,fifteen,,,yic’ɨx̌oble,Phonemic
13-102-532-1,tsak1249,Tsakhur (Gelmets dialect),1707,йицІыкьобле,CyrillTrans,twelve,,,yic’ɨqʼoble,Phonemic
13-101-532-1,tsak1249,Tsakhur (Gelmets dialect),1706,йицІысабле,CyrillTrans,eleven,,,yic’ɨsable,Phonemic
13-100-532-1,tsak1249,Tsakhur (Gelmets dialect),1515,йицІыбле,CyrillTrans,ten,,,yic’ɨble,Phonemic
13-90-532-1,tsak1249,Tsakhur (Gelmets dialect),1483,ючІубле,CyrillTrans,nine,,,yuč’uble,Phonemic
13-80-532-1,tsak1249,Tsakhur (Gelmets dialect),1705,молюбле,CyrillTrans,eight,,,molʲyuble,Phonemic
13-70-532-1,tsak1249,Tsakhur (Gelmets dialect),1704,йигІыбле,CyrillTrans,seven,,,yiʕɨble,Phonemic
13-60-532-1,tsak1249,Tsakhur (Gelmets dialect),1703,йихьыбле,CyrillTrans,six,,,yix̌ɨble,Phonemic
13-50-532-1,tsak1249,Tsakhur (Gelmets dialect),493,хьобле,CyrillTrans,five,,,x̌oble,Phonemic
13-40-532-1,tsak1249,Tsakhur (Gelmets dialect),1500,ёкьубле,CyrillTrans,four,,,yoqʼuble,Phonemic
13-20-532-1,tsak1249,Tsakhur (Gelmets dialect),1498,кьобле,CyrillTrans,two,,,qʼoble,Phonemic
13-30-532-1,tsak1249,Tsakhur (Gelmets dialect),492,хьёбле,CyrillTrans,three,,,x̌ʲyoble,Phonemic
13-10-532-1,tsak1249,Tsakhur (Gelmets dialect),1493,сабле,CyrillTrans,one,,,sable,Phonemic
13-0-532-1,tsak1249,Tsakhur (Gelmets dialect),1294,ноль,CyrillTrans,"zero, nothing",,,nolʲ,Phonemic
12-930-532-1,tsak1249,Tsakhur (Gelmets dialect),1264,бадалаъаз,CyrillTrans,change,,,badalaʔaz,Phonemic
12-920-532-1,tsak1249,Tsakhur (Gelmets dialect),1558,акаран’,CyrillTrans,"like, similar",,,akaranʲ,Phonemic
12-840-532-1,tsak1249,Tsakhur (Gelmets dialect),1048,хор,CyrillTrans,line,,,xor,Phonemic
12-850-532-1,tsak1249,Tsakhur (Gelmets dialect),1667,пахъ,CyrillTrans,hole,,,paq,Phonemic
12-830-532-1,tsak1249,Tsakhur (Gelmets dialect),1845,шар,CyrillTrans,"sphere, ball",,,šar,Phonemic
12-810-532-1,tsak1249,Tsakhur (Gelmets dialect),1395,топхьилин’,CyrillTrans,round,,,topx̌ilinʲ,Phonemic
12-820-532-1,tsak1249,Tsakhur (Gelmets dialect),1467,гыр,CyrillTrans,circle,,,gɨr,Phonemic
12-780-532-1,tsak1249,Tsakhur (Gelmets dialect),850,кьут,CyrillTrans,square,,,q̛ut,Phonemic
12-770-532-1,tsak1249,Tsakhur (Gelmets dialect),1367,къанч,CyrillTrans,cross,,,q̄anč,Phonemic
12-760-532-1,tsak1249,Tsakhur (Gelmets dialect),192,хьоще,CyrillTrans,corner,,,x̌oš̄e,Phonemic
12-750-532-1,tsak1249,Tsakhur (Gelmets dialect),1071,къармах,CyrillTrans,hook,,,q̄armax,Phonemic
12-740-532-1,tsak1249,Tsakhur (Gelmets dialect),297,алидкІырын’,CyrillTrans,crooked,,,alidk̛ɨrɨnʲ,Phonemic
12-730-532-1,tsak1249,Tsakhur (Gelmets dialect),1404,дюзудан’,CyrillTrans,straight,,,dʲyuzudanʲ,Phonemic
12-710-532-1,tsak1249,Tsakhur (Gelmets dialect),1633,кьадан’,CyrillTrans,flat,,,qʼadanʲ,Phonemic
12-680-532-1,tsak1249,Tsakhur (Gelmets dialect),193,хурун’,CyrillTrans,shallow,,,xurunʲ,Phonemic
12-670-532-1,tsak1249,Tsakhur (Gelmets dialect),1593,кІоран’,CyrillTrans,deep,,,kʼoranʲ,Phonemic
12-650-532-1,tsak1249,Tsakhur (Gelmets dialect),2249,кьыван’,CyrillTrans,thin (in dimension),,,q̛ɨwanʲ,Phonemic
12-630-532-1,tsak1249,Tsakhur (Gelmets dialect),1244,кокун’,CyrillTrans,thick (in dimension),,,kokunʲ,Phonemic
12-620-532-1,tsak1249,Tsakhur (Gelmets dialect),1267,дарын’,CyrillTrans,narrow,,,darɨnʲ,Phonemic
12-610-532-1,tsak1249,Tsakhur (Gelmets dialect),1243,акьын’,CyrillTrans,"wide, broad",,,aqʼɨnʲ,Phonemic
12-590-532-1,tsak1249,Tsakhur (Gelmets dialect),1645,джитІан’,CyrillTrans,short,,,ǯitʼanʲ,Phonemic
12-580-532-1,tsak1249,Tsakhur (Gelmets dialect),711,ахтын’,CyrillTrans,tall,,,axtɨnʲ,Phonemic
12-570-532-1,tsak1249,Tsakhur (Gelmets dialect),1203,хылийин’,CyrillTrans,long,,,xɨliyinʲ,Phonemic
12-560-532-1,tsak1249,Tsakhur (Gelmets dialect),1246,кІылын’,CyrillTrans,"small, little",,,kʼɨlɨnʲ,Phonemic
12-550-532-1,tsak1249,Tsakhur (Gelmets dialect),1202,хадын’,CyrillTrans,"large, big",,,xadɨnʲ,Phonemic
12-540-532-1,tsak1249,Tsakhur (Gelmets dialect),1506,ол’чмишеъаз,CyrillTrans,measure,,,olʲčmišeɁaz,Phonemic
12-530-532-1,tsak1249,Tsakhur (Gelmets dialect),479,алез,CyrillTrans,grow,,,alez,Phonemic
12-480-532-1,tsak1249,Tsakhur (Gelmets dialect),1595,гунай,CyrillTrans,south,,,gunay,Phonemic
12-470-532-1,tsak1249,Tsakhur (Gelmets dialect),1598,къузай,CyrillTrans,north,,,q̄uzay,Phonemic
12-460-532-1,tsak1249,Tsakhur (Gelmets dialect),1817,магъриб,CyrillTrans,west,,,maɣrib,Phonemic
12-450-532-1,tsak1249,Tsakhur (Gelmets dialect),1877,машрикь,CyrillTrans,east,,,mašriqʼ,Phonemic
12-430-532-1,tsak1249,Tsakhur (Gelmets dialect),1942,кьаняда,CyrillTrans,near (adv),,,qʼanʲyada,Phonemic
12-440-532-1,tsak1249,Tsakhur (Gelmets dialect),1406,акьанада,CyrillTrans,far (adv),,,aqʼanada,Phonemic
12-420-532-1,tsak1249,Tsakhur (Gelmets dialect),244,солын’ (ян),CyrillTrans,left (side),,,solɨnʲ (yan),Phonemic
12-410-532-1,tsak1249,Tsakhur (Gelmets dialect),1019,сагъын (ян),CyrillTrans,right (side),,,saɣɨn (yan),Phonemic
12-370-532-1,tsak1249,Tsakhur (Gelmets dialect),1093,йикьнедын’,CyrillTrans,"middle, center",,,yiq̛nedɨnʲ,Phonemic
12-360-532-1,tsak1249,Tsakhur (Gelmets dialect),682,ян,CyrillTrans,side,,,yan,Phonemic
12-353-532-1,tsak1249,Tsakhur (Gelmets dialect),863,сив,CyrillTrans,edge,,,siw,Phonemic
12-352-532-1,tsak1249,Tsakhur (Gelmets dialect),372,митІ’нан’,CyrillTrans,pointed,,,mit’ʲnanʲ,Phonemic
12-350-532-1,tsak1249,Tsakhur (Gelmets dialect),742,ахир,CyrillTrans,end,,,axir,Phonemic
12-340-532-1,tsak1249,Tsakhur (Gelmets dialect),690,кьан’,CyrillTrans,bottom,,,q̛anʲ,Phonemic
12-320-532-1,tsak1249,Tsakhur (Gelmets dialect),721,дикарда,CyrillTrans,low,,,dikarda,Phonemic
12-330-532-1,tsak1249,Tsakhur (Gelmets dialect),1753,кьом,CyrillTrans,top,,,qʼom,Phonemic
12-310-532-1,tsak1249,Tsakhur (Gelmets dialect),1265,ахтыда,CyrillTrans,high,,,axtɨda,Phonemic
12-270-532-1,tsak1249,Tsakhur (Gelmets dialect),602,дюгуляъаз,CyrillTrans,"hide, conceal",,,dʲyugulʲyaʔaz,Phonemic
12-250-532-1,tsak1249,Tsakhur (Gelmets dialect),1046,итІымаъаз,CyrillTrans,"shut, close",,,itɨmaʔaz,Phonemic
12-260-532-1,tsak1249,Tsakhur (Gelmets dialect),761,иткорāз,CyrillTrans,cover,,,itkorāz,Phonemic
12-240-532-1,tsak1249,Tsakhur (Gelmets dialect),1156,ачмишеъаз,CyrillTrans,open,,,ačmišeʔaz,Phonemic
12-232-532-1,tsak1249,Tsakhur (Gelmets dialect),1119,битІалаъаз,CyrillTrans,divide,,,bitʼalaʔaz,Phonemic
12-230-532-1,tsak1249,Tsakhur (Gelmets dialect),1359,джураеъаз,CyrillTrans,separate,,,ǯuraeʔaz,Phonemic
12-220-532-1,tsak1249,Tsakhur (Gelmets dialect),1743,аттикьанаъаз,CyrillTrans,"join, unite",,,at̄iq̛anaɁaz,Phonemic
12-213-532-1,tsak1249,Tsakhur (Gelmets dialect),1576,саъаз,CyrillTrans,pile up,,,saʔaz,Phonemic
