ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-310-274-1,esee1248,Ese Ejja,1676,-tii,Phonemic,always,key19581964;wyma1962;shoemaker,,,
14-290-274-1,esee1248,Ese Ejja,790,apo'a,Phonemic,ready,key19581964;wyma1962;shoemaker,,,
14-270-274-1,esee1248,Ese Ejja,1766,oepoa-,Phonemic,finish,key19581964;wyma1962;shoemaker,,,
14-270-274-3,esee1248,Ese Ejja,1766,-pahea,Phonemic,finish,key19581964;wyma1962;shoemaker,,,
14-252-274-1,esee1248,Ese Ejja,1186,xakaʔaki-,Phonemic,"last, endure",key19581964;wyma1962;shoemaker,,,
14-240-274-1,esee1248,Ese Ejja,425,kea-šono ?,Phonemic,"retard, delay",key19581964;wyma1962;shoemaker,,,
14-230-274-1,esee1248,Ese Ejja,754,poekʷahikʷe,Phonemic,"hasten, hurry",key19581964;wyma1962;shoemaker,"'Coming' and 'going', respectively.",,
14-230-274-3,esee1248,Ese Ejja,754,pokikʷahikʷe,Phonemic,"hasten, hurry",key19581964;wyma1962;shoemaker,"'Coming' and 'going', respectively.",,
14-220-274-1,esee1248,Ese Ejja,701,-šono,Phonemic,slow,key19581964;wyma1962;shoemaker,,,
14-220-274-3,esee1248,Ese Ejja,701,xapašineexi,Phonemic,slow,key19581964;wyma1962;shoemaker,,,
14-210-274-1,esee1248,Ese Ejja,1631,-kʷahi,Phonemic,"swift, fast, quick",key19581964;wyma1962;shoemaker,,,
14-180-274-1,esee1248,Ese Ejja,1376,xeyawa,Phonemic,now,key19581964;wyma1962;shoemaker,,,
14-180-274-3,esee1248,Ese Ejja,1376,xeya,Phonemic,now,key19581964;wyma1962;shoemaker,,,
14-170-274-1,esee1248,Ese Ejja,477,sinekʷa,Phonemic,late,key19581964;wyma1962;shoemaker,,,
14-160-274-1,esee1248,Ese Ejja,672,mekaxeawa,Phonemic,early,key19581964;wyma1962;shoemaker,,,
14-150-274-1,esee1248,Ese Ejja,1229,-tii,Phonemic,old,key19581964;wyma1962;shoemaker,Respectively: animate and inanimate.,,
14-150-274-3,esee1248,Ese Ejja,1229,-čii,Phonemic,old,key19581964;wyma1962;shoemaker,Respectively: animate and inanimate.,,
14-140-274-1,esee1248,Ese Ejja,1207,ešoʔi,Phonemic,young,key19581964;wyma1962;shoemaker,,,
14-130-274-1,esee1248,Ese Ejja,1231,e-yakʷa,Phonemic,new,key19581964;wyma1962;shoemaker,,,
14-110-274-1,esee1248,Ese Ejja,892,-še,Phonemic,time,key19581964;wyma1962;shoemaker,,,
13-350-274-1,esee1248,Ese Ejja,1529,oe'exanee,Phonemic,last,key19581964;wyma1962;shoemaker,,,
13-340-274-1,esee1248,Ese Ejja,728,eɓionee,Phonemic,first,key19581964;wyma1962;shoemaker,,,
13-330-274-1,esee1248,Ese Ejja,1580,mee,Phonemic,"alone, only",key19581964;wyma1962;shoemaker,,,
13-330-274-3,esee1248,Ese Ejja,1580,oe,Phonemic,"alone, only",key19581964;wyma1962;shoemaker,,,
13-230-274-1,esee1248,Ese Ejja,779,ɓisonee,Phonemic,"part, piece",key19581964;wyma1962;shoemaker,,,
13-220-274-1,esee1248,Ese Ejja,1624,emexe,Phonemic,empty,key19581964;wyma1962;shoemaker,,,
13-220-274-3,esee1248,Ese Ejja,1624,wihohea-,Phonemic,empty,key19581964;wyma1962;shoemaker,,,
13-210-274-1,esee1248,Ese Ejja,1429,kʷio-ka-,Phonemic,full,key19581964;wyma1962;shoemaker,Also -xexe ~ -hexe ~ -šexe.,,
13-181-274-1,esee1248,Ese Ejja,1241,e-ɓeka-kʷana,Phonemic,some,key19581964;wyma1962;shoemaker,ɓeka is 'two'.,,
13-170-274-1,esee1248,Ese Ejja,1242,oepoxi,Phonemic,"little (quantity), few",key19581964;wyma1962;shoemaker,,,
13-160-274-1,esee1248,Ese Ejja,1992,pea,Phonemic,more,key19581964;wyma1962;shoemaker,,,
13-150-274-1,esee1248,Ese Ejja,1198,-wiso,Phonemic,"much, many",key19581964;wyma1962;shoemaker,,,
13-150-274-3,esee1248,Ese Ejja,1198,-moo,Phonemic,"much, many",key19581964;wyma1962;shoemaker,,,
13-140-274-1,esee1248,Ese Ejja,98,oxaɲa,Phonemic,"every, all",key19581964;wyma1962;shoemaker,,,
13-140-274-3,esee1248,Ese Ejja,98,wasee,Phonemic,"every, all",key19581964;wyma1962;shoemaker,,,
13-107-274-1,esee1248,Ese Ejja,1420,siko-,Phonemic,count,key19581964;wyma1962;shoemaker,,,
13-40-274-1,esee1248,Ese Ejja,1500,e-ɓe'ka-ɓeepeaai,Phonemic,four,key19581964;wyma1962;shoemaker,[Or e-ɓeka-peepeaai (?),,
13-20-274-1,esee1248,Ese Ejja,1498,ɓeka,Phonemic,two,key19581964;wyma1962;shoemaker,,,
13-30-274-1,esee1248,Ese Ejja,492,e-ɓe'ka-peeximaʔ,Phonemic,three,key19581964;wyma1962;shoemaker,,,
13-10-274-1,esee1248,Ese Ejja,1493,oe,Phonemic,one,key19581964;wyma1962;shoemaker,,,
13-0-274-1,esee1248,Ese Ejja,1294,ae,Phonemic,"zero, nothing",key19581964;wyma1962;shoemaker,,,
