ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-239-1,rotu1241,Rotuman,1852,aʔ-maʔoi,Phonemic,often,churchward1940;geraghty1995,,,
14-320-239-3,rotu1241,Rotuman,1852,aʔ-mou,Phonemic,often,churchward1940;geraghty1995,,,
14-310-239-1,rotu1241,Rotuman,1676,faʔa,Phonemic,always,churchward1940;geraghty1995,,,
14-290-239-1,rotu1241,Rotuman,790,iatita,Phonemic,ready,churchward1940;geraghty1995,,,
14-280-239-1,rotu1241,Rotuman,1928,vɔhi,Phonemic,"cease, stop",churchward1940;geraghty1995,,,
14-270-239-1,rotu1241,Rotuman,1766,aʔ-vɔhi,Phonemic,finish,churchward1940;geraghty1995,,,
14-260-239-1,rotu1241,Rotuman,743,aʔ-öfiŋa,Phonemic,end (temporal),churchward1940;geraghty1995,,,
14-252-239-1,rotu1241,Rotuman,1186,noh roa,Phonemic,"last, endure",churchward1940;geraghty1995,,,
14-250-239-1,rotu1241,Rotuman,1806,kamata,Phonemic,"begin, beginning",churchward1940;geraghty1995,,,
14-240-239-1,rotu1241,Rotuman,425,fep-ʔaki,Phonemic,"retard, delay",churchward1940;geraghty1995,,,
14-240-239-3,rotu1241,Rotuman,425,föp-ʔɔki,Phonemic,"retard, delay",churchward1940;geraghty1995,,,
14-240-239-5,rotu1241,Rotuman,425,aʔ-fepi-a,Phonemic,"retard, delay",churchward1940;geraghty1995,,,
14-230-239-1,rotu1241,Rotuman,754,saŋsaŋa,Phonemic,"hasten, hurry",churchward1940;geraghty1995,,,
14-220-239-1,rotu1241,Rotuman,701,fepi,Phonemic,slow,churchward1940;geraghty1995,,,
14-220-239-3,rotu1241,Rotuman,701,föp,Phonemic,slow,churchward1940;geraghty1995,,,
14-210-239-1,rotu1241,Rotuman,1631,væve,Phonemic,"swift, fast, quick",churchward1940;geraghty1995,,,
14-210-239-3,rotu1241,Rotuman,1631,miči,Phonemic,"swift, fast, quick",churchward1940;geraghty1995,,,
14-190-239-1,rotu1241,Rotuman,1963,miči,Phonemic,immediately,churchward1940;geraghty1995,,,
14-180-239-1,rotu1241,Rotuman,1376,ʔe ʔon ʔiʔi,Phonemic,now,churchward1940;geraghty1995,,,
14-170-239-1,rotu1241,Rotuman,477,fepi,Phonemic,late,churchward1940;geraghty1995,,,
14-170-239-3,rotu1241,Rotuman,477,föp,Phonemic,late,churchward1940;geraghty1995,,,
14-160-239-1,rotu1241,Rotuman,672,miči,Phonemic,early,churchward1940;geraghty1995,,,
14-150-239-1,rotu1241,Rotuman,1229,mafua,Phonemic,old,churchward1940;geraghty1995,,,
14-150-239-3,rotu1241,Rotuman,1229,ne roa,Phonemic,old,churchward1940;geraghty1995,,,
14-140-239-1,rotu1241,Rotuman,1207,meaʔmeʔa,Phonemic,young,churchward1940;geraghty1995,,,
14-120-239-1,rotu1241,Rotuman,1789,mafua,Phonemic,age,churchward1940;geraghty1995,,,
14-130-239-1,rotu1241,Rotuman,1231,foʔou,Phonemic,new,churchward1940;geraghty1995,,,
14-110-239-1,rotu1241,Rotuman,892,ava,Phonemic,time,churchward1940;geraghty1995,,,
13-440-239-1,rotu1241,Rotuman,417,aʔfolu,Phonemic,three times,churchward1940;geraghty1995,,,
13-420-239-1,rotu1241,Rotuman,1859,ʔon folu,Phonemic,third,churchward1940;geraghty1995,,,
13-380-239-1,rotu1241,Rotuman,1546,aʔrua,Phonemic,two times,churchward1940;geraghty1995,,,
13-370-239-1,rotu1241,Rotuman,1888,soa,Phonemic,pair,churchward1940;geraghty1995,,,
13-360-239-1,rotu1241,Rotuman,1384,ʔon rua,Phonemic,second,churchward1940;geraghty1995,,,
