ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-299-1,sana1281,Sanapaná (Enlhet dialect),1852,maataʔa,Phonemic,often,unruh1997,,,
14-320-299-3,sana1281,Sanapaná (Enlhet dialect),1852,kalyeɬwayʔo,Phonemic,often,unruh1997,,,
14-310-299-1,sana1281,Sanapaná (Enlhet dialect),1676,maataʔa,Phonemic,always,unruh1997,,,
14-290-299-1,sana1281,Sanapaná (Enlhet dialect),790,akpeensammaɬkaʔ,Phonemic,ready,unruh1997,,,
14-290-299-3,sana1281,Sanapaná (Enlhet dialect),790,peenaaskeʔ,Phonemic,ready,unruh1997,,,
14-290-299-5,sana1281,Sanapaná (Enlhet dialect),790,taʔseʔ,Phonemic,ready,unruh1997,,,
14-280-299-1,sana1281,Sanapaná (Enlhet dialect),1928,neŋelwaateeskama,Phonemic,"cease, stop",unruh1997,Also nempekenaekɬaʔ; neŋneŋkenaekɬaʔ; nempensaŋweskayˀ; nempoktemkeskama; neŋaktemkeskama; neŋwanmaykekɬaʔ; akwayaamˀ neeɬaʔ.,,
14-280-299-3,sana1281,Sanapaná (Enlhet dialect),1928,neŋnaekɬaʔ,Phonemic,"cease, stop",unruh1997,Also nempekenaekɬaʔ; neŋneŋkenaekɬaʔ; nempensaŋweskayˀ; nempoktemkeskama; neŋaktemkeskama; neŋwanmaykekɬaʔ; akwayaamˀ neeɬaʔ.,,
14-270-299-1,sana1281,Sanapaná (Enlhet dialect),1766,nempeeneeskama,Phonemic,finish,unruh1997,Also nentaapeɬkeemoo; neŋeɬkawaamoo; neŋyamaskamoo; altooɬnayˀ amankok; akyamaskama.,,
14-270-299-3,sana1281,Sanapaná (Enlhet dialect),1766,nensawhomoo,Phonemic,finish,unruh1997,Also nentaapeɬkeemoo; neŋeɬkawaamoo; neŋyamaskamoo; altooɬnayˀ amankok; akyamaskama.,,
14-260-299-1,sana1281,Sanapaná (Enlhet dialect),743,neeɬaʔ,Phonemic,end (temporal),unruh1997,,,
14-252-299-1,sana1281,Sanapaná (Enlhet dialect),1186,akmoo,Phonemic,"last, endure",unruh1997,,,
14-250-299-1,sana1281,Sanapaná (Enlhet dialect),1806,neŋeenmoo,Phonemic,"begin, beginning",unruh1997,,,
14-250-299-3,sana1281,Sanapaná (Enlhet dialect),1806,neŋeenwaekɬoo,Phonemic,"begin, beginning",unruh1997,,,
14-240-299-1,sana1281,Sanapaná (Enlhet dialect),425,neŋwayaamˀ aɬaayeʔ,Phonemic,"retard, delay",unruh1997,Also akwaŋkapaykaok.,,
14-230-299-1,sana1281,Sanapaná (Enlhet dialect),754,nempekhayˀ,Phonemic,"hasten, hurry",unruh1997,,,
14-230-299-3,sana1281,Sanapaná (Enlhet dialect),754,neŋyaʔyahaykamˀ,Phonemic,"hasten, hurry",unruh1997,,,
14-220-299-1,sana1281,Sanapaná (Enlhet dialect),701,nentaʔmelseeykamʔo,Phonemic,slow,unruh1997,,,
14-210-299-1,sana1281,Sanapaná (Enlhet dialect),1631,neŋaapaʔheeykamˀ,Phonemic,"swift, fast, quick",unruh1997,Also ¡kampoho!,,
14-210-299-3,sana1281,Sanapaná (Enlhet dialect),1631,akma yenyeem,Phonemic,"swift, fast, quick",unruh1997,Also ¡kampoho!,,
14-210-299-5,sana1281,Sanapaná (Enlhet dialect),1631,pat,Phonemic,"swift, fast, quick",unruh1997,Also ¡kampoho!,,
14-190-299-1,sana1281,Sanapaná (Enlhet dialect),1963,keɬwooʔ,Phonemic,immediately,unruh1997,Also peɬkayˀ; kayenheemoo; sekɬaʔ; ɬeŋakɬoho; mokneeten.,,
14-190-299-3,sana1281,Sanapaná (Enlhet dialect),1963,keɬwook aŋkooʔ,Phonemic,immediately,unruh1997,Also peɬkayˀ; kayenheemoo; sekɬaʔ; ɬeŋakɬoho; mokneeten.,,
14-180-299-1,sana1281,Sanapaná (Enlhet dialect),1376,keɬwooʔ,Phonemic,now,unruh1997,,,
14-180-299-3,sana1281,Sanapaná (Enlhet dialect),1376,neŋwaamɬa nak hayˀ,Phonemic,now,unruh1997,,,
14-170-299-1,sana1281,Sanapaná (Enlhet dialect),477,aɬaayeʔ,Phonemic,late,unruh1997,Also mokʔaɬayˀ; nempokteyaamˀ.,,
14-170-299-3,sana1281,Sanapaná (Enlhet dialect),477,neŋaapaʔheŋwaekmoo,Phonemic,late,unruh1997,Also mokʔaɬayˀ; nempokteyaamˀ.,,
14-160-299-1,sana1281,Sanapaná (Enlhet dialect),672,aɬtoʔooʔ,Phonemic,early,unruh1997,,,
14-160-299-3,sana1281,Sanapaná (Enlhet dialect),672,peɬkayˀ,Phonemic,early,unruh1997,,,
14-150-299-1,sana1281,Sanapaná (Enlhet dialect),1229,neŋwaanyamˀ,Phonemic,old,unruh1997,,,
14-140-299-1,sana1281,Sanapaná (Enlhet dialect),1207,ayetkok,Phonemic,young,unruh1997,,,
14-140-299-3,sana1281,Sanapaná (Enlhet dialect),1207,aɬnaŋkok,Phonemic,young,unruh1997,,,
14-120-299-1,sana1281,Sanapaná (Enlhet dialect),1789,aknookɬaʔ mokhetma/ aanyo eŋak,Phonemic,age,unruh1997,Also akwomɬaʔ mokhetma/ aanyo eŋak.,,
14-130-299-1,sana1281,Sanapaná (Enlhet dialect),1231,aɬnaŋkok,Phonemic,new,unruh1997,,,
14-130-299-3,sana1281,Sanapaná (Enlhet dialect),1231,wetooʔ,Phonemic,new,unruh1997,,,
13-440-299-1,sana1281,Sanapaná (Enlhet dialect),417,naʔatke ktamhaekɬoo,Phonemic,three times,unruh1997,,,
13-420-299-1,sana1281,Sanapaná (Enlhet dialect),1859,[tresero],Phonemic,third,unruh1997,,,
13-380-299-1,sana1281,Sanapaná (Enlhet dialect),1546,aʔnet aktamhaekɬoo,Phonemic,two times,unruh1997,,,
13-370-299-1,sana1281,Sanapaná (Enlhet dialect),1888,aʔnet,Phonemic,pair,unruh1997,,,
13-360-299-1,sana1281,Sanapaná (Enlhet dialect),1384,aɬaayeʔ,Phonemic,second,unruh1997,,,
13-360-299-3,sana1281,Sanapaná (Enlhet dialect),1384,mook/ pook,Phonemic,second,unruh1997,,,
13-360-299-5,sana1281,Sanapaná (Enlhet dialect),1384,nenteeteeykaok,Phonemic,second,unruh1997,,,
13-350-299-1,sana1281,Sanapaná (Enlhet dialect),1529,aɬaayeʔ,Phonemic,last,unruh1997,,,
13-350-299-3,sana1281,Sanapaná (Enlhet dialect),1529,aɬaayooʔ,Phonemic,last,unruh1997,,,
13-350-299-5,sana1281,Sanapaná (Enlhet dialect),1529,ɬaʔaŋkooʔ,Phonemic,last,unruh1997,,,
13-340-299-1,sana1281,Sanapaná (Enlhet dialect),728,eŋmamyeʔ,Phonemic,first,unruh1997,Also ayeenookɬaʔ; ayemha-mamyeʔ.,,
13-340-299-3,sana1281,Sanapaná (Enlhet dialect),728,sekɬooʔ,Phonemic,first,unruh1997,Also ayeenookɬaʔ; ayemha-mamyeʔ.,,
13-330-299-1,sana1281,Sanapaná (Enlhet dialect),1580,enɬapkooʔ,Phonemic,"alone, only",unruh1997,Also neŋelaanammaɬkoo.,,
13-330-299-3,sana1281,Sanapaná (Enlhet dialect),1580,waamɬaʔ,Phonemic,"alone, only",unruh1997,Also neŋelaanammaɬkoo.,,
13-240-299-1,sana1281,Sanapaná (Enlhet dialect),816,naaɬet,Phonemic,half,unruh1997,,,
13-240-299-3,sana1281,Sanapaná (Enlhet dialect),816,nekhaʔ,Phonemic,half,unruh1997,,,
13-230-299-1,sana1281,Sanapaná (Enlhet dialect),779,nekhaʔ,Phonemic,"part, piece",unruh1997,,,
13-220-299-1,sana1281,Sanapaná (Enlhet dialect),1624,mepke waʔɬok,Phonemic,empty,unruh1997,,,
13-210-299-1,sana1281,Sanapaná (Enlhet dialect),1429,aklaaneyʔo,Phonemic,full,unruh1997,,,
13-190-299-1,sana1281,Sanapaná (Enlhet dialect),2023,apyeweyˀ teŋma,Phonemic,"multitude, crowd",unruh1997,,,
13-190-299-3,sana1281,Sanapaná (Enlhet dialect),2023,teŋma pwaanyamˀ,Phonemic,"multitude, crowd",unruh1997,,,
13-181-299-1,sana1281,Sanapaná (Enlhet dialect),1241,mokɬamʔa,Phonemic,some,unruh1997,,,
13-181-299-3,sana1281,Sanapaná (Enlhet dialect),1241,aʔnetooʔ,Phonemic,some,unruh1997,,,
13-170-299-1,sana1281,Sanapaná (Enlhet dialect),1242,aʔnet,Phonemic,"little (quantity), few",unruh1997,Also akmaseɬte; ayaaseɬteeykaok; tes.,,
13-170-299-3,sana1281,Sanapaná (Enlhet dialect),1242,aʔnetooʔ,Phonemic,"little (quantity), few",unruh1997,Also akmaseɬte; ayaaseɬteeykaok; tes.,,
13-170-299-5,sana1281,Sanapaná (Enlhet dialect),1242,mokɬamʔa,Phonemic,"little (quantity), few",unruh1997,Also akmaseɬte; ayaaseɬteeykaok; tes.,,
13-170-299-7,sana1281,Sanapaná (Enlhet dialect),1242,atketsek,Phonemic,"little (quantity), few",unruh1997,Also akmaseɬte; ayaaseɬteeykaok; tes.,,
