ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
10-850-828-1,aheu1239,Thavung So,108,maj.1 pha:j.2,phonetic,oar,,< L,,
10-472-828-1,aheu1239,Thavung So,1102,pi:n.1 > L,phonetic,climb,,,,
9-790-828-1,aheu1239,Thavung So,1971,tpɛl.1,phonetic,fan (noun),,,,
9-261-828-1,aheu1239,Thavung So,588,pɛh.1,phonetic,broken,,,,
9-222-828-1,aheu1239,Thavung So,155,pɛ:l.1,phonetic,"chop, hew",,,,
9-220-828-1,aheu1239,Thavung So,1432,pih.2,phonetic,cut,,,,
8-531-828-1,aheu1239,Thavung So,1486,pi:t.1,phonetic,plant (vb),,,,
8-320-828-1,aheu1239,Thavung So,190,mɛ.1 pin.1,phonetic,"mow, reap",,,,
6-740-828-1,aheu1239,Thavung So,1754,apɛ.2,phonetic,bracelet,,,,
5-230-828-1,aheu1239,Thavung So,2146,pi:ŋ.1,phonetic,"roast, fry",,< L,,
4-780-828-1,aheu1239,Thavung So,1719,phaŋ.1,phonetic,bury (the dead),,< L,,
4-352-828-1,aheu1239,Thavung So,498,tpaw.1 phɨak.1,phonetic,calf of leg,,,,
4-330-828-1,aheu1239,Thavung So,1277,pi:l.1,phonetic,hand,,,,
4-300-828-1,aheu1239,Thavung So,1482,api:ŋ.2,phonetic,shoulder,,,,
4-250-828-1,aheu1239,Thavung So,478,apə:l.1,phonetic,lip,,,,
4-205-828-1,aheu1239,Thavung So,123,na.1 pha:k.1,phonetic,forehead,,< L,,
3-920-828-1,aheu1239,Thavung So,1791,pi:ŋ.1 pɔ:t.1,phonetic,butterfly,,,,
3-653-828-1,aheu1239,Thavung So,266,kpɛh.1,phonetic,fishscale,,,,
3-652-828-1,aheu1239,Thavung So,213,apɛ:ŋ.1,phonetic,fin (dorsal),,,,
2-930-828-1,aheu1239,Thavung So,262,pi:n.1,phonetic,he/she/it,,,,
20-620-828-1,aheu1239,Thavung So,1172,piń.1,phonetic,shoot,,,,
