ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-245-1,chac1249,Cayapa,1852,den,Phonemic,often,,,,
14-310-245-1,chac1249,Cayapa,1676,'naa ['uwa]-'nu-ba,Phonemic,always,,Lit. 'what hour (hora)-at-ever'.,,
14-290-245-1,chac1249,Cayapa,790,'ki-nu-n-'hu-tʸu,Phonemic,ready,,Lit. 'do-to-intensifier-is-not'.,,
14-280-245-1,chac1249,Cayapa,1928,'kah-'kaa-nu,Phonemic,"cease, stop",,Respectively: transitive (causative); intrans. Also 'ui'kaa-nu.,,
14-280-245-3,chac1249,Cayapa,1928,'ui-'di-nu,Phonemic,"cease, stop",,Respectively: transitive (causative); intrans. Also 'ui'kaa-nu.,,
14-270-245-1,chac1249,Cayapa,1766,['a'ka'wan]-'ge-nu,Phonemic,finish,,"Also 'de-'ke-nu, completion of an action, plural.",,
14-270-245-3,chac1249,Cayapa,1766,'deʔ-'i-nu,Phonemic,finish,,"Also 'de-'ke-nu, completion of an action, plural.",,
14-260-245-1,chac1249,Cayapa,743,['a'ka'wadu],Phonemic,end (temporal),,From Span. 'acabar'.,,
14-252-245-1,chac1249,Cayapa,1186,['duwan]-'ge-nu,Phonemic,"last, endure",,From Span. 'durar'.,,
14-250-245-1,chac1249,Cayapa,1806,'ah'keʔ,Phonemic,"begin, beginning",,"Respectively: 'firstly'; 'begin'. Also 'pee'pu-in-ša, beginning in time or space.",,
14-250-245-3,chac1249,Cayapa,1806,'pee'pu-nu,Phonemic,"begin, beginning",,"Respectively: 'firstly'; 'begin'. Also 'pee'pu-in-ša, beginning in time or space.",,
14-240-245-1,chac1249,Cayapa,425,'pi-'ya-nu,Phonemic,"retard, delay",,From Span. 'tardar'.,,
14-240-245-3,chac1249,Cayapa,425,['taada] 'i-nu,Phonemic,"retard, delay",,From Span. 'tardar'.,,
14-230-245-1,chac1249,Cayapa,754,teʔ 'ke-nu,Phonemic,"hasten, hurry",,Lit. 'quickly do'. 'Hurry up!' is 'a'pain.,,
14-220-245-1,chac1249,Cayapa,701,'ku'wain,Phonemic,slow,,,,
14-210-245-1,chac1249,Cayapa,1631,'da'ran,Phonemic,"swift, fast, quick",,,,
14-210-245-3,chac1249,Cayapa,1631,'di'heru,Phonemic,"swift, fast, quick",,,,
14-210-245-5,chac1249,Cayapa,1631,teʔ,Phonemic,"swift, fast, quick",,,,
14-190-245-1,chac1249,Cayapa,1963,hei,Phonemic,immediately,,"Used with verbs of locomotion 'come, go'. The latter two are used with 'do' verb.",,
14-190-245-3,chac1249,Cayapa,1963,teʔ,Phonemic,immediately,,"Used with verbs of locomotion 'come, go'. The latter two are used with 'do' verb.",,
14-190-245-5,chac1249,Cayapa,1963,'heke,Phonemic,immediately,,"Used with verbs of locomotion 'come, go'. The latter two are used with 'do' verb.",,
14-180-245-1,chac1249,Cayapa,1376,'ča-lʸa,Phonemic,now,,,,
14-170-245-1,chac1249,Cayapa,477,'pu-i-ɲu,Phonemic,late,,Means 'having passed'. Also 'aa 'ča-ɲu 'late in morning'.,,
14-160-245-1,chac1249,Cayapa,672,'aa-'ma-lu,Phonemic,early,,Lit. 'very day'.,,
14-150-245-1,chac1249,Cayapa,1229,'uinbu,Phonemic,old,,Respectively: things; men or animals.,,
14-150-245-3,chac1249,Cayapa,1229,'ru'ku-nu,Phonemic,old,,Respectively: things; men or animals.,,
14-140-245-1,chac1249,Cayapa,1207,'naku'lulu,Phonemic,young,,First form means 'tender'.,,
14-140-245-3,chac1249,Cayapa,1207,'na'kungu,Phonemic,young,,First form means 'tender'.,,
14-120-245-1,chac1249,Cayapa,1789,'ču-ɲu ['aɲu],Phonemic,age,,Lit. 'lived-having year (año)'.,,
14-130-245-1,chac1249,Cayapa,1231,'kasa,Phonemic,new,,Used in compounds. *South Barbacoan form is *kasaN-.,,
14-110-245-1,chac1249,Cayapa,892,['tinbu],Phonemic,time,,From Span. 'tiempo'.,,
13-440-245-1,chac1249,Cayapa,417,'pen ['bi'hee],Phonemic,three times,,,,
13-440-245-3,chac1249,Cayapa,417,'pen a,Phonemic,three times,,,,
13-420-245-1,chac1249,Cayapa,1859,'pen ['bi'hee]-(nu),Phonemic,third,,,,
13-380-245-1,chac1249,Cayapa,1546,'pai ['bi'hee],Phonemic,two times,,,,
13-380-245-3,chac1249,Cayapa,1546,'pai a,Phonemic,two times,,,,
13-370-245-1,chac1249,Cayapa,1888,'palʸu,Phonemic,pair,,Same as 'two'.,,
13-360-245-1,chac1249,Cayapa,1384,'pai ['bi'hee]-nu,Phonemic,second,,"Latter form, lit. '2 time-at occasion', from Span. 'vez'.",,
13-360-245-3,chac1249,Cayapa,1384,'pai ['bi'hee]-ša,Phonemic,second,,"Latter form, lit. '2 time-at occasion', from Span. 'vez'.",,
13-340-245-1,chac1249,Cayapa,728,'ah'keʔ,Phonemic,first,,,,
13-330-245-1,chac1249,Cayapa,1580,'maalʸi ~ 'maali,Phonemic,"alone, only",,,,
13-240-245-1,chac1249,Cayapa,816,'keh-tala,Phonemic,half,,,,
13-230-245-1,chac1249,Cayapa,779,'lepa,Phonemic,"part, piece",,From Span. 'pedazo'.,,
13-230-245-3,chac1249,Cayapa,779,['pe'dasu],Phonemic,"part, piece",,From Span. 'pedazo'.,,
13-220-245-1,chac1249,Cayapa,1624,'pu-tʸu,Phonemic,empty,,"First form, lit. 'is in-negative'.",,
13-220-245-3,chac1249,Cayapa,1624,'turu,Phonemic,empty,,"First form, lit. 'is in-negative'.",,
13-210-245-1,chac1249,Cayapa,1429,'tʸuwa,Phonemic,full,,,,
13-210-245-3,chac1249,Cayapa,1429,'yalʸu,Phonemic,full,,,,
