ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-270-313-1,qawa1238,Qawasqar,1766,ḳyexaso,Phonemic,finish,,Also means 'end' 14.260.,,
14-260-313-1,qawa1238,Qawasqar,743,ḳyexaso,Phonemic,end (temporal),,Also means 'finish'.,,
14-230-313-1,qawa1238,Qawasqar,754,apayesḳa,Phonemic,"hasten, hurry",,From Ag. Cf. 'swift' 14.210.,,
14-210-313-1,qawa1238,Qawasqar,1631,apay,Phonemic,"swift, fast, quick",,,,
14-190-313-1,qawa1238,Qawasqar,1963,yac̷ḳyaḳ,Phonemic,immediately,,,,
14-180-313-1,qawa1238,Qawasqar,1376,lafḳ,Phonemic,now,,"Sk, Bo record the same for Central QWS. North and Central forms also mean 'today' 14.470.",,
14-150-313-1,qawa1238,Qawasqar,1229,arxa-na,Phonemic,old,,,,
14-130-313-1,qawa1238,Qawasqar,1231,layep,Phonemic,new,,"Also means 'good, pretty'. Also c̷ˀepac̷ewel, which also means 'clean'.",,
13-350-313-1,qawa1238,Qawasqar,1529,ḳexataw,Phonemic,last,,Cf. 'end' 14.260.,,
13-340-313-1,qawa1238,Qawasqar,728,of-tereḳ,Phonemic,first,,Also means 'in front of'.,,
13-330-313-1,qawa1238,Qawasqar,1580,tʰaw,Phonemic,"alone, only",,"Also means 'loose, isolated'.",,
13-220-313-1,qawa1238,Qawasqar,1624,ḳapḳʰar,Phonemic,empty,,,,
13-210-313-1,qawa1238,Qawasqar,1429,-ḳwal,Phonemic,full,,"Cf. 'large' 12.550, footnote.",,
13-170-313-1,qawa1238,Qawasqar,1242,taḳ-so,Phonemic,"little (quantity), few",,"Also means 'one' 13.010. Also yeke, which also means 'small'; and tak-so-yeke.",,
13-150-313-1,qawa1238,Qawasqar,1198,aḳyay,Phonemic,"much, many",,"Also kstal; Em records asaxap. Also erlay, which also means 'large'. Bo, Sk record akyay; Bo records lakskyar; Sk, Bo, Fe record akwel, which also means 'large' for Central QWS.",,
13-20-313-1,qawa1238,Qawasqar,1498,woḳs,Phonemic,two,,"Sk, Bo record wokɬ for Central QWS. Fi, Hy record telkwaw for South QWS.",,
13-30-313-1,qawa1238,Qawasqar,492,woḳs-tow,Phonemic,three,,"From Ag. Sk, Bo record wokɬ-tow for Central QWS. Cf. 'two' 13.020 and 'other' tow. Fi, Hy record kopep for South QWS.",,
13-10-313-1,qawa1238,Qawasqar,1493,taḳ-so,Phonemic,one,,"Sk, Bo, Fe record tako-tako for Central QWS. Fi, Hy record takwayto for South QWS.",,
13-0-313-1,qawa1238,Qawasqar,1294,ḳyep,Phonemic,"zero, nothing",,"Also Em records yeksolok. Sk, Bo record kyep; Bo records kyatay; leksor for Central QWS.",,
12-810-313-1,qawa1238,Qawasqar,1395,ḳoyerxas,Phonemic,round,,Bo records kayes for Central QWS.,,
12-780-313-1,qawa1238,Qawasqar,850,ḳsayḳses,Phonemic,square,,Bo records kalokɬ for Central QWS.,,
12-770-313-1,qawa1238,Qawasqar,1367,ac̷alḳac̷eḳs,Phonemic,cross,,"Also means 'across'. Ag also records kyeyer-kʰar which also means 'cemetery', cf. 'tomb' 04.790. Bo records letekala for Central QWS.",,
12-730-313-1,qawa1238,Qawasqar,1404,ḳses,Phonemic,straight,,,,
12-670-313-1,qawa1238,Qawasqar,1593,xale-ḳstay,Phonemic,deep,,"From Ag, also means the depth of the sea. Bo records alealo, which also means 'bottom'.",,
12-650-313-1,qawa1238,Qawasqar,2249,ḳʰarsḳa,Phonemic,thin (in dimension),,"Also Ag, Em record kolet. Sk, Bo record ayep for Central QWS.",,
12-630-313-1,qawa1238,Qawasqar,1244,yesa,Phonemic,thick (in dimension),,"Also Ag, Em record keya. Sk, Bo record afke; Bo records kstas, cf. 'long' 12.570, for Central QWS. Fi, Hy record ofke for South QWS.",,
12-620-313-1,qawa1238,Qawasqar,1267,aḳwos,Phonemic,narrow,,,,
12-590-313-1,qawa1238,Qawasqar,1645,tˀaw,Phonemic,short,,,,
12-580-313-1,qawa1238,Qawasqar,711,ḳstas,Phonemic,tall,,"From Ag, also means 'long'. Bo records tˀeɬ for Central QWS. Cf. 'high' 12.310 and 'top' 12.330.",,
12-570-313-1,qawa1238,Qawasqar,1203,ḳstas,Phonemic,long,,,,
12-560-313-1,qawa1238,Qawasqar,1246,yeḳe,Phonemic,"small, little",,"Also means 'few'. Sk, Bo, Gui record yekyot for Central QWS. Fi, Hy record yekwat for South QWS.",,
12-550-313-1,qawa1238,Qawasqar,1202,erlay,Phonemic,"large, big",,"Also Ag, Em record arakstawar. Bo records akwel for Central QWS. Fi, Hy record okwel for South QWS.",,
12-530-313-1,qawa1238,Qawasqar,479,fsay-na,Phonemic,grow,,Also Ag records anas.,,
12-480-313-1,qawa1238,Qawasqar,1595,ḳolayeḳ,Phonemic,south,,"Also sete. Sk records septkeɬe for Central QWS. Fi, Hy record okway for South QWS.",,
