ID,Language_ID,Language_name,Parameter_ID,Value,Transcription,Concept,Source,Comment,AlternativeValue,AlternativeTranscription
14-320-251-1,pume1238,Yaruro,1852,hĩrã-rĩ ko,Phonemic,often,,The latter is a suffix used on verbs.,,
14-320-251-3,pume1238,Yaruro,1852,-riʊ,Phonemic,often,,The latter is a suffix used on verbs.,,
14-310-251-1,pume1238,Yaruro,1676,-rɛ,Phonemic,always,,,,
14-290-251-1,pume1238,Yaruro,790,hɛre,Phonemic,ready,,,,
14-280-251-1,pume1238,Yaruro,1928,anõ,Phonemic,"cease, stop",,,,
14-270-251-1,pume1238,Yaruro,1766,-dʊrʊ,Phonemic,finish,,,,
14-260-251-1,pume1238,Yaruro,743,kʰia-diʊ-rʊ,Phonemic,end (temporal),,,,
14-252-251-1,pume1238,Yaruro,1186,čʰao,Phonemic,"last, endure",,,,
14-250-251-1,pume1238,Yaruro,1806,taru-pa,Phonemic,"begin, beginning",,,,
14-240-251-1,pume1238,Yaruro,425,kere-diʊ-dɛ,Phonemic,"retard, delay",,,,
14-230-251-1,pume1238,Yaruro,754,hõẽ-rã-pɛ̃ hʊ,Phonemic,"hasten, hurry",,,,
14-220-251-1,pume1238,Yaruro,701,haeri-rã,Phonemic,slow,,,,
14-210-251-1,pume1238,Yaruro,1631,hõẽ-rã,Phonemic,"swift, fast, quick",,,,
14-190-251-1,pume1238,Yaruro,1963,pio yabã-ĩ,Phonemic,immediately,,,,
14-180-251-1,pume1238,Yaruro,1376,pio yabã,Phonemic,now,,,,
14-170-251-1,pume1238,Yaruro,477,hĩtʊpeã,Phonemic,late,,,,
14-160-251-1,pume1238,Yaruro,672,pea-da-ĩ,Phonemic,early,,Means early in the day.,,
14-150-251-1,pume1238,Yaruro,1229,ɔta-mãĩ,Phonemic,old,,,,
14-140-251-1,pume1238,Yaruro,1207,bo,Phonemic,young,,,,
14-120-251-1,pume1238,Yaruro,1789,ado kʰarẽ-mõ hapa-mitɛ-rʊ,Phonemic,age,,"Means another age, or period of time.",,
14-130-251-1,pume1238,Yaruro,1231,pea-čʰa,Phonemic,new,,,,
14-110-251-1,pume1238,Yaruro,892,hapa-mitɛ,Phonemic,time,,,,
13-440-251-1,pume1238,Yaruro,417,tʰara-rĩ ko,Phonemic,three times,,,,
13-420-251-1,pume1238,Yaruro,1859,duri,Phonemic,third,,"Means behind, or third.",,
13-380-251-1,pume1238,Yaruro,1546,yõarĩ ko,Phonemic,two times,,,,
13-370-251-1,pume1238,Yaruro,1888,yõarĩ-rẽ,Phonemic,pair,,,,
13-360-251-1,pume1238,Yaruro,1384,tʰo-ro,Phonemic,second,,Means in the middle/second.,,
13-350-251-1,pume1238,Yaruro,1529,duri tʰamõ,Phonemic,last,,,,
13-340-251-1,pume1238,Yaruro,728,yabɔ-ĩ,Phonemic,first,,,,
13-330-251-1,pume1238,Yaruro,1580,hudi-mõ,Phonemic,"alone, only",,"Means 'he alone', subj./obj. pronoun + -mõ. 'Alone/ by one-self' is hibɛã-mãĩ, (poss. pronoun + -mãĩ.",,
13-240-251-1,pume1238,Yaruro,816,tʰomõ,Phonemic,half,,,,
13-230-251-1,pume1238,Yaruro,779,koto,Phonemic,"part, piece",,,,
13-220-251-1,pume1238,Yaruro,1624,kʰara-peã,Phonemic,empty,,See 'body' 04.110.,,
13-210-251-1,pume1238,Yaruro,1429,mãĩ,Phonemic,full,,,,
13-190-251-1,pume1238,Yaruro,2023,Pumɛ̃ nõĩ-dɛ,Phonemic,"multitude, crowd",,,,
13-181-251-1,pume1238,Yaruro,1241,o oa-mõ,Phonemic,some,,,,
13-170-251-1,pume1238,Yaruro,1242,habɛ-ta-rĩ-mĩ,Phonemic,"little (quantity), few",,,,
13-180-251-1,pume1238,Yaruro,1881,habe-čʰĩ,Phonemic,enough,,,,
13-160-251-1,pume1238,Yaruro,1992,hĩdɛ uɛĩ,Phonemic,more,,,,
13-150-251-1,pume1238,Yaruro,1198,hĩrãrĩ,Phonemic,"much, many",,,,
13-140-251-1,pume1238,Yaruro,98,čʰʊnã-ĩ,Phonemic,"every, all",,,,
13-107-251-1,pume1238,Yaruro,1420,atara,Phonemic,count,,,,
13-104-251-1,pume1238,Yaruro,1710,taɔ čʰʊnã-ĩ,Phonemic,twenty,,Lit. 'all the feet'; 04.370 and 13.140.,,
13-102-251-1,pume1238,Yaruro,1707,iči čʰʊnã-ĩ yõarĩ,Phonemic,twelve,,,,
13-101-251-1,pume1238,Yaruro,1706,iči čʰʊnã-ĩ kʰarɛ̃-mẽ,Phonemic,eleven,,,,
13-100-251-1,pume1238,Yaruro,1515,iči čʰʊnã-ĩ,Phonemic,ten,,,,
13-90-251-1,pume1238,Yaruro,1483,kʰaĩ-tãrã-ri hadɔ-čia-mĩ,Phonemic,nine,,,,
13-80-251-1,pume1238,Yaruro,1705,kʰaĩ-tãrã-ri tʰararĩ,Phonemic,eight,,,,
13-70-251-1,pume1238,Yaruro,1704,kʰaĩ-tãrã-ri yõarĩ,Phonemic,seven,,,,
13-60-251-1,pume1238,Yaruro,1703,kʰaĩ-tãrã-ri kʰarɛ̃-mẽ,Phonemic,six,,,,
13-50-251-1,pume1238,Yaruro,493,kʰarẽ iči-mõ,Phonemic,five,,See 'hand' 04.330.,,
13-40-251-1,pume1238,Yaruro,1500,hadɔ-čia-mĩ,Phonemic,four,,,,
13-20-251-1,pume1238,Yaruro,1498,yõarĩ,Phonemic,two,,,,
13-30-251-1,pume1238,Yaruro,492,tʰararĩ,Phonemic,three,,,,
13-10-251-1,pume1238,Yaruro,1493,kʰarɛ̃-mẽ,Phonemic,one,,,,
13-0-251-1,pume1238,Yaruro,1294,dɛ-kʰia,Phonemic,"zero, nothing",,Means 'there is nothing'.,,
12-930-251-1,pume1238,Yaruro,1264,anõ-mire,Phonemic,change,,,,
12-920-251-1,pume1238,Yaruro,1558,-mĩ da,Phonemic,"like, similar",,,,
12-840-251-1,pume1238,Yaruro,1048,koɛmã ãrẽ-rĩ,Phonemic,line,,,,
12-850-251-1,pume1238,Yaruro,1667,puɛ,Phonemic,hole,,,,
12-830-251-1,pume1238,Yaruro,1845,čoko,Phonemic,"sphere, ball",,,,
12-810-251-1,pume1238,Yaruro,1395,čoko-čoko-a,Phonemic,round,,,,
12-820-251-1,pume1238,Yaruro,1467,kɨri-kɨri-a,Phonemic,circle,,,,
12-780-251-1,pume1238,Yaruro,850,tõ-tõ čia-rĩ,Phonemic,square,,,,
12-770-251-1,pume1238,Yaruro,1367,ãrẽ-ãrẽ-da,Phonemic,cross,,"Verbal form, action of crossing.",,
12-760-251-1,pume1238,Yaruro,192,bu,Phonemic,corner,,,,
12-750-251-1,pume1238,Yaruro,1071,čʰere ča,Phonemic,hook,,,,
12-740-251-1,pume1238,Yaruro,297,tai,Phonemic,crooked,,,,
12-730-251-1,pume1238,Yaruro,1404,koɛmã,Phonemic,straight,,,,
12-710-251-1,pume1238,Yaruro,1633,pʰatɛ,Phonemic,flat,,,,
12-680-251-1,pume1238,Yaruro,193,kʰɔkʰɔrɔ-dɛ,Phonemic,shallow,,,,
12-670-251-1,pume1238,Yaruro,1593,urɛdi,Phonemic,deep,,,,
12-650-251-1,pume1238,Yaruro,2249,hu-hu-i,Phonemic,thin (in dimension),,,,
12-630-251-1,pume1238,Yaruro,1244,itu,Phonemic,thick (in dimension),,,,
12-620-251-1,pume1238,Yaruro,1267,boĩčʰĩ,Phonemic,narrow,,,,
12-610-251-1,pume1238,Yaruro,1243,anã,Phonemic,"wide, broad",,,,
12-590-251-1,pume1238,Yaruro,1645,toko-ĩ-mĩ,Phonemic,short,,,,
12-580-251-1,pume1238,Yaruro,711,ɔtɛ,Phonemic,tall,,,,
12-570-251-1,pume1238,Yaruro,1203,gõa-tĩ,Phonemic,long,,,,
12-560-251-1,pume1238,Yaruro,1246,boĩčʰĩ,Phonemic,"small, little",,,,
12-550-251-1,pume1238,Yaruro,1202,anã,Phonemic,"large, big",,,,
12-541-251-1,pume1238,Yaruro,81,mũĩ-da,Phonemic,"span, fathom",,A measure by arm span.,,
12-540-251-1,pume1238,Yaruro,1506,atara,Phonemic,measure,,,,
12-530-251-1,pume1238,Yaruro,479,ɔtɛ-pa,Phonemic,grow,,,,
12-480-251-1,pume1238,Yaruro,1595,oɛ-rʊ-pɛ̃,Phonemic,south,,Refers to other side of the river; see previous entries.,,
12-470-251-1,pume1238,Yaruro,1598,daĩ-rʊ-pɛ̃,Phonemic,north,,Orientation--out from the river; see previous entries.,,
12-460-251-1,pume1238,Yaruro,1817,čʰia-rʊ-pɛ̃,Phonemic,west,,Means upriver; see previous entry.,,
12-450-251-1,pume1238,Yaruro,1877,taru-ro-pɛ̃,Phonemic,east,,"The river flows east/west, so the direction is downriver.",,
12-430-251-1,pume1238,Yaruro,1942,kɛrĩ,Phonemic,near (adv),,,,
12-440-251-1,pume1238,Yaruro,1406,hači,Phonemic,far (adv),,,,
12-370-251-1,pume1238,Yaruro,1093,tʰomõ,Phonemic,"middle, center",,,,
12-360-251-1,pume1238,Yaruro,682,yuro,Phonemic,side,,,,
12-353-251-1,pume1238,Yaruro,863,čiri,Phonemic,edge,,,,
12-352-251-1,pume1238,Yaruro,372,yũrã čia,Phonemic,pointed,,Cf. 'front' 12.041.,,
12-350-251-1,pume1238,Yaruro,742,apɛ,Phonemic,end,,,,
12-340-251-1,pume1238,Yaruro,690,apɛ,Phonemic,bottom,,,,
12-320-251-1,pume1238,Yaruro,721,uɛ-da-ĩ,Phonemic,low,,,,
12-330-251-1,pume1238,Yaruro,1753,nãpɛ̃,Phonemic,top,,,,
12-310-251-1,pume1238,Yaruro,1265,uɛ,Phonemic,high,,,,
12-270-251-1,pume1238,Yaruro,602,goadi,Phonemic,"hide, conceal",,,,
12-250-251-1,pume1238,Yaruro,1046,tuti kara,Phonemic,"shut, close",,,,
12-240-251-1,pume1238,Yaruro,1156,are-goɛ,Phonemic,open,,,,
12-232-251-1,pume1238,Yaruro,1119,čʰara-pa,Phonemic,divide,,,,
12-230-251-1,pume1238,Yaruro,1359,are-goɛ,Phonemic,separate,,,,
12-220-251-1,pume1238,Yaruro,1743,tuti ohĩdʊ,Phonemic,"join, unite",,,,
