entry_id	trans_english	Cavineña_Phonemic
1.1	world	yawa
1.21	earth, land	meči
1.212	earth=ground, soil	mehihi
1.213	dust	moro
1.214	mud	oyo-da
1.215	sand	mehihi
1.22	mountain, hill	owa-kʷemoso
1.222	cliff, precipice	etiweso
1.23	plain, field	yači
1.24	valley	--
1.25	island	ekobobo
1.26	mainland	
1.27	shore	e-kʷac̷a
1.28	cave	kani
1.31	water	e-na
1.32	sea	--
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	oba
1.329	ocean	--
1.33	lake	be(ʔ)i
1.34	gulf, bay	
1.341	lagoon	bei-kaka
1.342	reef	
1.343	headland, point	
1.35	wave	ena-pako
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	kʷe-ri
1.362	whirlpool	ena kawai-ti-ya
1.37	spring, well	kani
1.38	swamp	nabade
1.39	waterfall	sororo
1.41	woods, forest	e-ki-ke
1.42	tree (cf 08.600)	akʷi
1.43	wood	[taora]
1.44	stone, rock	tomo
1.45	earthquake	
1.51	sky	bare-pa
1.52	sun	iheti
1.53	moon	badi
1.54	star	porari
1.55	lightning	tahita
1.56	thunder	tiri-ti-ya
1.57	lightning (as striking)	popi-popi-ya
1.58	storm	tiriti-ya
1.59	rainbow	tahina
1.61	light (noun)	ode
1.62	darkness	apo-apo
1.63	shade, shadow	apo-taho
1.64	dew	yabakʷi
1.71	air	kana
1.72	wind	kʷehihi
1.73	cloud	wani
1.74	fog	apo-apo
1.75	rain (noun)	ne(ʔ)i
1.76	snow (noun)	--
1.77	ice	e-tadataša-ke ena (?)
1.78	weather	wekaka
1.81	fire	e-ti-ki
1.82	flame (noun)	hoho-ra
1.83	smoke (noun)	wani
1.84	ashes	moro
1.841	embers	ti-ki
1.851	burn (vb trans)	tiro-ya
1.852	burn (vb intrans)	hoho-ya
1.86	light, kindle, ignite	toča-ya
1.861	extinguish	ti-kʷa-ya
1.87	match (noun)	pahowe-ra
1.88	firewood	kʷa-ti
1.89	charcoal	e-ti-ro-sewe
2.1	person, human being	e-kʷita
2.21	man (vs. woman)	deka
2.22	woman	e-pona
2.23	male	deka
2.24	female	e-pona
2.25	boy	e-bakʷa-pihi
2.251	young man (adolescent)	ewe(ʔ)ebarie- (?)
2.26	girl	e-bako-na-pihi
2.261	young woman (adolescent)	
2.27	child	e-bakʷa-ke
2.28	infant, baby	ašaša-ke
2.31	husband	yawi-ke ~ e-awe
2.32	wife	e-wane-ke
2.33	marry	ka-kemi-ti-ya
2.34	marriage, wedding	
2.341	divorce	
2.35	father	tata
2.36	mother	e-kʷa-ke
2.37	parents	
2.38	married man	
2.39	married woman	e-pona awe-ki-ke
2.41	son	e-bakʷa-ke
2.42	daughter	e-bako-hona-ke
2.43	offspring (son or daughter)	
2.44	brother	e-noo-ke
2.444	older brother	e-o-si; e-ʔohi-ke
2.445	younger brother	e-hao; e-ho-ke
2.45	sister	e-hana-ke
2.454	older sister	e-na-si
2.455	younger sister	e-hana-ke
2.456	sibling	e-noo-ke
2.458	twins	šiwi
2.46	grandfather	e-baba
2.461	old man	e-siri
2.47	grandmother	awiča; ano
2.471	old woman	e-siri; awiča
2.48	grandson	yoc̷ekʷa-ke
2.49	granddaughter	yoc̷ekʷa-ke
2.51	uncle	e-tatiine
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	e-nene
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	e-boi
2.54	niece	e-bo-ke; okʷa
2.55	cousin	e-a-c̷ewe-bataya-
2.56	ancestors	-baba-kʷana
2.57	descendants	e-horakana
2.61	father-in-law (of a man)	e-wane-ke e-tata-ke
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	e-wane-ke e-kʷa-ke
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	e-bakʷa-ke ha-wane
2.641	daughter-in-law (of a woman)	
2.71	stepfather	e-tata-pohi-ke
2.72	stepmother	e-kʷake pohi-ke
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	e-tata-maho-ke
2.76	widow	e-awe-maho-ke
2.77	widower	e-wane-maho-ke
2.81	relatives, kinsmen	ata
2.82	family	
2.91	I	i-ke
2.92	you (singular)	mi; mi-ke
2.93	he/she/it	to-ke
2.94	we	e-kʷana
2.941	we (inclusive)	--
2.942	we (exclusive)	--
2.95	you (plural)	mi-kʷana
2.96	they	to-na
3.11	animal	oo; kʷanobi
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	--
3.16	pasture	yači
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[waka]
3.21	bull	
3.22	ox	[hoye]
3.23	cow	[waka]
3.24	calf	[waka]-ha-bakʷa
3.25	sheep	[owiša]
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	koči
3.36	goat	[owiša]
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[kawayo]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	
3.47	mule	
3.5	fowl	
3.52	cock, rooster	takore-deka
3.54	hen	takore e-pona
3.55	chicken	takore
3.56	goose	
3.57	duck	hohe
3.58	nest	eha
3.581	bird	ča(ʔ)i
3.582	seagull	
3.583	heron	ra(ʔ)o
3.584	eagle	
3.585	hawk	wiwipa
3.586	vulture	hamani
3.591	bat	bina
3.592	parrot	korakʷa
3.593	crow	
3.594	dove	we(ʔ)i; bihihi
3.596	owl	popo
3.61	dog	čapa
3.614	rabbit	inika
3.62	cat	miši
3.622	opossum	
3.63	mouse, rat	hite
3.65	fish	ha(ʔ)e
3.652	fin (dorsal)	e-tisarara
3.653	fishscale	e-biti
3.654	gill	
3.655	shell	hemo
3.661	shark	--
3.662	porpoise, dolphin	
3.663	whale	--
3.664	stingray	ibabi
3.665	freshwater eel	nanata
3.71	wolf	
3.72	lion	šibinoni
3.73	bear	
3.74	fox	ihawa
3.75	deer	dokʷe-ri
3.76	monkey	
3.77	elephant	--
3.78	camel	--
3.81	insect	
3.811	louse	bi(ʔ)a
3.812	nit (louse egg)	eka bi(ʔ)a-ha-ke
3.813	flea	bi(ʔ)a
3.814	centipede	wači-wači-ke
3.815	scorpion	ahi-pa
3.816	cockroach	sopa
3.817	ant	poki
3.818	spider	tiriri
3.819	spider web	tiriri-hiwa
3.82	bee	hino
3.821	beeswax	wini
3.822	beehive	waha-či-kani
3.823	wasp	bira
3.83	fly	hewewero
3.831	sandfly (midge), gnat	čo(ʔ)o
3.832	mosquito	di(ʔ)i
3.84	worm	ec̷ena
3.85	snake	bakʷa
3.91	firefly	omaha porari
3.92	butterfly	hababa
3.93	grasshopper	
3.94	snail	hemo
3.95	frog	wawa
3.96	lizard	yaʔa-matoha
3.97	crocodile, alligator	matoha
3.98	turtle	dati
4.11	body	e-kʷita
4.12	skin, hide	e-biti
4.13	flesh	e-rami
4.14	hair (head)	e-c̷aro
4.142	beard	kʷesa
4.144	body hair	momi-da-ke
4.145	pubic hair	e-nawa
4.146	dandruff	i-yoka-moro
4.15	blood	ami
4.151	vein, artery	ami-dihi
4.16	bone	e-c̷a(ʔ)o
4.162	rib	e-pere-kac̷e
4.17	horn	e-dana
4.18	tail	iwa
4.19	back	e-bebakʷa
4.191	spine	e-tima c̷ao
4.2	head	i-yo-ka
4.201	side of head, temple	
4.202	skull	e-maho-ka
4.203	brain	e-c̷apona
4.204	face	e-boc̷e-kini
4.205	forehead	e-keti
4.207	jaw	yama-ka
4.208	cheek	e-tamo
4.209	chin	e-kʷedoko
4.21	eye	ya-to-ka
4.212	eyebrow	ya-to-ka bemari
4.213	eyelid	ya-to-ka-biti
4.214	eyelash	ya-to-ka-c̷aro
4.215	blink	tapi-ya
4.22	ear	iha-ka
4.221	earlobe	
4.222	earwax	
4.23	nose	e-wi
4.231	nostril	e-wi-kani
4.232	mucus (nasal)	
4.24	mouth	e-kʷac̷a
4.241	beak	e-wi
4.25	lip	e-kʷac̷a-biti
4.26	tongue	yana
4.27	tooth	e-c̷e
4.271	gums	e-c̷e-kono
4.272	molartooth	yaha-c̷e
4.28	neck	e-piti
4.281	nape of neck	tʸowi
4.29	throat	e-c̷ori-kani
4.3	shoulder	yara-ka-ka
4.301	shoulderblade	yara
4.302	collarbone	
4.31	arm	e-bi
4.312	armpit	iɲokʷiha
4.32	elbow	išoromomo
4.321	wrist	c̷oro
4.33	hand	e-me-toko
4.331	palm of hand	e-me-toko-akʷa
4.34	finger	e-me-toko sapara
4.342	thumb	e-me-yoka
4.344	fingernail	e-me-šoro
4.345	claw	
4.35	leg	e-c̷a-ka
4.351	thigh	e-c̷oko
4.352	calf of leg	e-tikone
4.36	knee	e-dana-ka
4.37	foot	e-wači
4.371	ankle	e-wači-atoha-kaka
4.372	heel	e-tibo-koro
4.374	footprint	emekʷare
4.38	toe	e-wači sapara
4.392	wing	yahapa-ra
4.393	feather	e-kata
4.4	chest	yakʷa
4.41	breast (of woman)	yakʷa
4.412	nipple, teat	ac̷o
4.42	udder	
4.43	navel	soʔo
4.44	heart	e-niho
4.441	lung	e-hasa
4.45	liver	e-takʷa
4.451	kidney	e-pekaka
4.452	spleen	dokoc̷o
4.46	stomach	e-domi-ti
4.461	intestines, guts	e-sere
4.462	waist	e-kare
4.463	hip	e-tima
4.464	buttocks	e-tada
4.47	womb	e-bakʷa-tare
4.49	testicle	
4.492	penis	e-posi
4.51	breathe, breath	kana-heti-ya
4.52	yawn, gape	ka(ʔ)ac̷anaka-ti-ya
4.521	hiccough	c̷odo-ya
4.53	cough	oho-oho-ya
4.54	sneeze	hači-oho-ya
4.55	perspire	weroro-ya
4.56	spit	e-kʷedi-ra-a-ya
4.57	vomit	ka-poša-ti-ya
4.58	bite	karo-ya
4.59	lick	c̷e(ʔ)o-ya
4.591	dribble	
4.61	sleep	tawi-ya
4.612	snore	tarara-ya
4.62	dream	tawi-ho-ya
4.63	wake up	kabati-ya
4.64	break wind	kʷihi-ya
4.65	urinate	wira-ya
4.66	defecate	domi-ya
4.67	have sexual intercourse	sehi-ya
4.68	shiver	tadada-ya
4.69	bathe	nawi-ya
4.71	beget (of father)	
4.72	born (to be)	kʷina-ya
4.73	pregnant	maki
4.732	conceive	
4.74	live, living, life	ani-ya
4.75	die, dead	maho-ya-ke
4.751	drowned	widi-ya
4.76	kill	iye-ya
4.77	corpse	e-maho
4.78	bury (the dead)	papa-
4.79	grave, tomb	e-maho-kani
4.81	strong, mighty, powerful	kasa-da
4.82	weak	kasa-da-ma
4.83	well, health	čača
4.84	sick, sickness	ohehe-da-ke
4.841	fever	ba(ʔ)ara
4.842	goiter	e-romo
4.843	cold (catarrh)	wihira aya
4.85	wound, sore	e-take-ke; čadi
4.852	bruise	
4.853	swelling	moha-ya
4.854	itch	
4.855	blister	e-kohota
4.856	boil (noun)	toc̷o
4.857	pus	e-bohoc̷o
4.858	scar	hipi
4.86	cure, heal	čača-ne-ya
4.87	physician	yanakona
4.88	medicine, drug	e-sama-ki
4.89	poison	ac̷a; oʔo kono
4.91	tired, weary	kastere-ya
4.912	rest	kana-hara-ya
4.92	lazy	dʸai-ni; dʸai-da-ke
4.93	bald	
4.94	lame	rodo-rodo
4.95	deaf	iha-ka-ma
4.96	mute	ana-ma
4.97	blind	šowi
4.98	intoxicated	niho-ki
4.99	naked, bare	e-kataka-ti
5.11	eat	ara-ya; ara-ara-ya
5.12	food	e-doka; e-ara-ki
5.121	cooked	e-ara-kiho-ya
5.122	raw	hina-ma
5.123	ripe	ehawa-ne
5.124	green, unripe	
5.125	rotten	e-riri
5.13	drink	ihi-ya
5.14	hunger	ara-kara
5.141	famine	
5.15	thirst	ihi-ma-dʸa; ihi-ra
5.16	suck	soso-ya
5.18	chew	nako-ya; koro-
5.181	swallow	boihi-ya
5.19	choke	widi-ya
5.21	cook	hina-ya
5.22	boil (vb)	sapa-ya
5.23	roast, fry	kʷawi-ya
5.24	bake	
5.25	oven	
5.26	pot, cooking vessel	emari-kaka
5.27	kettle	[perora]
5.28	pan	
5.31	dish	seeta
5.32	plate	peha
5.33	bowl	
5.34	pitcher, jug	sora
5.35	cup, drinking vessel	[perora]
5.36	saucer	
5.37	spoon	
5.38	knife	[kočiro]-kaka
5.39	fork	
5.391	tongs	
5.41	meal (a)	edoka
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	pohi-ya
5.47	sieve, strain	haha-
5.48	scrape	here-
5.49	stir, mix	oha-ya
5.51	bread	misi
5.53	dough	e-podi-ke
5.54	knead	sika-ya
5.55	meal, flour	kʷawe moro
5.56	crush, grind	eri-ya; hemi-
5.57	mill	tako; tarapiči
5.58	mortar	makana
5.59	pestle	mano-tako
5.61	meat	e-rami
5.63	sausage	--
5.64	soup, broth	ename
5.65	vegetables	
5.66	bean	poroto
5.7	potato	
5.71	fruit	akʷiho
5.712	bunch	esa
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	e-c̷e-ri
5.791	grease, fat	hohi-da
5.81	salt	bano
5.82	pepper	--
5.821	chili pepper	biho
5.84	honey	waha
5.85	sugar	[asoka]
5.86	milk (noun)	ac̷o-na
5.87	milk (vb)	[leče]-ho-ya
5.88	cheese	[kiso]
5.89	butter	--
5.9	beverage, drink	ihi-išo-ke; topari
5.91	mead	
5.92	wine	--
5.93	beer	topa-ri
5.94	fermented drink	kasa-da kʷita
5.97	egg	e-ka
5.971	egg yolk	
6.11	put on (clothes)	hoto-ya
6.12	clothing, clothes	e-hoto-ki
6.13	tailor	--
6.21	cloth	e-hoto-ki
6.22	wool	šaka-šaka
6.23	linen, flax	--
6.24	cotton	wapehe
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	[waka]-biti
6.31	spin	tari-ya
6.32	spindle	tari-tari-išo-ke
6.33	weave	pika-ya; tari-
6.34	loom	
6.35	sew	toc̷o-ya
6.36	needle	ec̷o-kʷiha
6.37	awl	
6.38	thread	edoki
6.39	dye	sawa-ya
6.41	cloak	--
6.411	poncho	
6.42	woman's dress	ona
6.43	coat	
6.44	shirt	
6.45	collar	e-piti-kani
6.46	skirt	
6.461	grass-skirt	--
6.48	trousers	[karosone]
6.49	stocking, sock	
6.51	shoe	[sapato]-ki
6.52	boot	
6.54	shoemaker, cobbler	--
6.55	hat, cap	motiro
6.57	belt, girdle	[sintoro]
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	
6.63	pin	
6.71	ornament, adornment	ehoee
6.72	jewel	
6.73	ring (for finger)	meta-ra
6.74	bracelet	
6.75	necklace	irine
6.76	bead	
6.77	earring	šaporo
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	
6.82	towel	
6.91	comb	yapere
6.92	brush	
6.921	braid	e-pika-ke
6.93	razor	kʷesa hereki-ke
6.94	ointment	
6.95	soap	[habo]
6.96	mirror	
7.11	dwell, live	yac̷eha(ʔ)ani
7.12	house	e-tare
7.13	hut	tawi-šo-ke
7.131	garden-house	tawi-šo-ke
7.14	tent	--
7.15	yard, court	taraka
7.16	men's house	
7.17	cookhouse	
7.18	meeting house	
7.21	room	
7.22	door, gate	e-teri-ki
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	e-tači-ki
7.24	key	
7.25	window	[wetana]
7.26	floor	yawa
7.27	wall	e-sipi-ke
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	poro
7.42	bed	e-tawi-ki
7.421	pillow	i-yoki-yoki
7.422	blanket	maša
7.43	chair	wari
7.44	table	
7.45	lamp, torch	ode; oda-
7.46	candle	ode
7.47	shelf	
7.48	trough	saso
7.51	roof	c̷ohi
7.52	thatch	noc̷a e-tare
7.53	ridgepole	e-kamawa
7.54	rafter	tišira
7.55	beam	e-kac̷e
7.56	post, pole	dodo
7.57	board	[taora]
7.58	arch	--
7.61	mason	--
7.62	brick	--
7.63	mortar	--
