entry_id	trans_english	Estonian_Phonemic
1.1	world	maailm
1.21	earth, land	maa
1.212	earth=ground, soil	maapind
1.213	dust	tolm
1.214	mud	muda
1.215	sand	liiw
1.22	mountain, hill	mægi
1.222	cliff, precipice	kalyu
1.23	plain, field	tasandik; pəld
1.24	valley	or̃g
1.25	island	saar̃
1.26	mainland	manner̃ ~ mander̃
1.27	shore	kallas; r̃and
1.28	cave	koobas
1.31	water	wesi
1.32	sea	mer̃i
1.322	calm (of sea)	r̃ahulik; waikne
1.323	rough (of sea)	tor̃mine (mer̃i)
1.324	foam	waht
1.329	ocean	ookean
1.33	lake	yær̃w
1.34	gulf, bay	laht
1.341	lagoon	laguun
1.342	reef	kar̃i
1.343	headland, point	neem
1.35	wave	laine
1.352	tide	təus ja məən
1.353	lowtide	məən
1.354	hightide	təus
1.36	river, stream, brook	yəgi; oya
1.362	whirlpool	weekeer̃is
1.37	spring, well	allikas; læte; kaew
1.38	swamp	soo
1.39	waterfall	kosk; yuga
1.41	woods, forest	mets
1.42	tree (cf 08.600)	puu
1.43	wood	puit
1.44	stone, rock	kiwi; kalyu
1.45	earthquake	maawær̃in
1.51	sky	taewas
1.52	sun	pæike
1.53	moon	kuu
1.54	star	tæht
1.55	lightning	wælk
1.56	thunder	kəu; pikne; mür̃istamine
1.57	lightning (as striking)	pikne
1.58	storm	tor̃m
1.59	rainbow	wiker̃kaar̃
1.61	light (noun)	walgus
1.62	darkness	pimedus
1.63	shade, shadow	war̃i
1.64	dew	kaste
1.71	air	əhk
1.72	wind	tuul
1.73	cloud	pilw
1.74	fog	udu
1.75	rain (noun)	wihm
1.76	snow (noun)	lumi
1.77	ice	yææ
1.78	weather	ilm
1.81	fire	tuli
1.82	flame (noun)	leek
1.83	smoke (noun)	suits
1.84	ashes	tuhk
1.841	embers	həəguwad söed
1.851	burn (vb trans)	pəletama
1.852	burn (vb intrans)	pəlema
1.86	light, kindle, ignite	süütama
1.861	extinguish	kustutama
1.87	match (noun)	tuletikk
1.88	firewood	küttepuud
1.89	charcoal	puusüsi
2.1	person, human being	inimene
2.21	man (vs. woman)	mees
2.22	woman	naine
2.23	male	meessoost
2.24	female	naissoost
2.25	boy	poiss
2.251	young man (adolescent)	noor̃mees
2.26	girl	tüdr̃uk
2.261	young woman (adolescent)	neiu
2.27	child	laps
2.28	infant, baby	laps; imik
2.31	husband	mees; abikaasa
2.32	wife	naine; abikaasa
2.33	marry	abielluma
2.34	marriage, wedding	abielu; pulmad; laulatus
2.341	divorce	abielulahutus
2.35	father	isa
2.36	mother	ema
2.37	parents	wanemad
2.38	married man	abielumees
2.39	married woman	abielunaine
2.41	son	poeg
2.42	daughter	tütar̃
2.43	offspring (son or daughter)	yær̃eltuliya
2.44	brother	wend
2.444	older brother	wanem wend
2.445	younger brother	noor̃em wend
2.45	sister	əde
2.454	older sister	wanem əde
2.455	younger sister	noor̃em əde
2.456	sibling	əed-wennad
2.458	twins	kaksikud
2.46	grandfather	wanaisa
2.461	old man	wanamees
2.47	grandmother	wanaema
2.471	old woman	wana naine
2.48	grandson	poyapoeg; tütr̃epoeg
2.49	granddaughter	poyatütar̃; tütr̃etütar̃
2.51	uncle	onu
2.511	mother's brother	onu
2.512	father's brother	lell
2.52	aunt	tædi
2.521	mother's sister	tædi
2.522	father's sister	sətse
2.53	nephew	wennapoeg; əepoeg
2.54	niece	wennatütar̃; əetütar̃
2.55	cousin	nəbu
2.56	ancestors	esiwanemad
2.57	descendants	yær̃glased
2.61	father-in-law (of a man)	æi
2.611	father-in-law (of a woman)	æi
2.62	mother-in-law (of a man)	æmm
2.621	mother-in-law (of a woman)	æmm
2.63	son-in-law (of a man)	wæimees
2.631	son-in-law (of a woman)	wæimees
2.64	daughter-in-law (of a man)	minia
2.641	daughter-in-law (of a woman)	minia
2.71	stepfather	wəər̃asisa
2.72	stepmother	wəər̃asema
2.73	stepson	wəər̃aspoeg
2.74	stepdaughter	wəər̃astütar̃
2.75	orphan	or̃b
2.76	widow	lesk ~ lesknaine
2.77	widower	lesk ~ leskmees
2.81	relatives, kinsmen	sugulased
2.82	family	per̃ekond
2.91	I	mina
2.92	you (singular)	sina
2.93	he/she/it	tema ~ ta
2.94	we	meie ~ me
2.941	we (inclusive)	- -
2.942	we (exclusive)	- -
2.95	you (plural)	teie ~ te
2.96	they	nemad ~ nad
3.11	animal	loom
3.12	male (adj)	isane
3.13	female (adj)	emane
3.15	livestock	kar̃iloomad
3.16	pasture	kar̃yamaa
3.18	herdsman	kar̃yus
3.19	stable, stall	laut; tall
3.2	cattle (bovine)	kar̃iloomad
3.21	bull	pull; sənn
3.22	ox	hær̃g
3.23	cow	lehm
3.24	calf	wasikas
3.25	sheep	lammas
3.26	ram	oinas; yæær̃
3.28	ewe	utt; (ema)lammas
3.29	lamb	woon; (lamba)tall
3.32	boar	kult
3.34	sow	emis
3.35	pig	pər̃sas
3.36	goat	kits
