entry_id	trans_english	Maori_Phonemic
1.1	world	ao
1.21	earth, land	ao; whenua
1.212	earth=ground, soil	one-one; paru; whenua; papa
1.213	dust	nehu; puehu
1.214	mud	paru; paru-paru; one
1.215	sand	one-puu; one
1.22	mountain, hill	mauŋa; puke
1.222	cliff, precipice	pari
1.23	plain, field	paa-tiki; taiapa; maania; rao-rao; parae
1.24	valley	awa-awa; riu; whaarua
1.25	island	motu; moutere
1.26	mainland	tua-whenua
1.27	shore	taha; taha-taha; pare-ŋa; one
1.28	cave	ana; rua
1.31	water	wai
1.32	sea	moana; tai
1.322	calm (of sea)	
1.323	rough (of sea)	ŋaru-ŋaru; kare-kare
1.324	foam	huka
1.329	ocean	moana
1.33	lake	roto; moana
1.34	gulf, bay	kokoru
1.341	lagoon	
1.342	reef	
1.343	headland, point	rae; kuu-rae; more; kuu-more
1.35	wave	ŋaru
1.352	tide	tai
1.353	lowtide	tai timu; timu; mimiti
1.354	hightide	tai pari
1.36	river, stream, brook	awa; maŋa; wai
1.362	whirlpool	ripo-ripo; aawhio-whio
1.37	spring, well	puna; poka wai
1.38	swamp	repo
1.39	waterfall	rere; taaheke; wai-rere
1.41	woods, forest	ŋahere; ŋaahere-here; ŋahe-ŋahe
1.42	tree (cf 08.600)	raakau
1.43	wood	raakau
1.44	stone, rock	koowhatu; koohatu; poowhatu; poohatu; toka; kaamaka
1.45	earthquake	ruu; wiri; ŋapu
1.51	sky	raŋi
1.52	sun	raa
1.53	moon	marama
1.54	star	whetuu
1.55	lightning	uira; kanapu; hiko
1.56	thunder	whatitiri; whaitiri
1.57	lightning (as striking)	
1.58	storm	tupuhi; aawhaa
1.59	rainbow	aaniwa-niwa; koopere; Kahukura
1.61	light (noun)	raatana; raiti; rama
1.62	darkness	poouri; poo-ŋia; hina-poouri
1.63	shade, shadow	whaka-maru-maru; maru-maru
1.64	dew	haukuu; toomai-raŋi
1.71	air	
1.72	wind	hau; muri; hauora
1.73	cloud	kapua; ao-hia; kopua
1.74	fog	kohu; puukohu
1.75	rain (noun)	ua; ua-ina; maraŋai
1.76	snow (noun)	huka; huka-rere
1.77	ice	
1.78	weather	raŋi
1.81	fire	ahi; kaapura
1.82	flame (noun)	mura
1.83	smoke (noun)	paoa; auahi
1.84	ashes	puŋarehu
1.841	embers	ŋaarehu; waro
1.851	burn (vb trans)	kaa-ŋia; ŋiha; tahu-na; tahu
1.852	burn (vb intrans)	
1.86	light, kindle, ignite	tahu-na
1.861	extinguish	tinei-a (ki)
1.87	match (noun)	maati
1.88	firewood	wahie; peka
1.89	charcoal	waro
2.1	person, human being	taŋata; paake; pakeke
2.21	man (vs. woman)	taŋata; taane; tama
2.22	woman	wahine; waahine
2.23	male	toa; tame; taane; tama
2.24	female	wahine
2.25	boy	poai; taitama; tamaiti
2.251	young man (adolescent)	taitama
2.26	girl	hine; kootiro; koohine; tamaahine
2.261	young woman (adolescent)	taitama-ahine
2.27	child	tamaiti; koohuŋa-huŋa
2.28	infant, baby	peepi
2.31	husband	taane
2.32	wife	wahine
2.33	marry	moe-a; moe; maarena-tia; whaka-moe-a
2.34	marriage, wedding	maarenataŋa
2.341	divorce	
2.35	father	paapaa; matua taane
2.36	mother	matua wahine; whaea; whaaea; kookaa; Maamaa
2.37	parents	matua; ma-a-tua
2.38	married man	
2.39	married woman	
2.41	son	tamaiti taane; tama
2.42	daughter	tamaahine; kootiro
2.43	offspring (son or daughter)	uri; whaanau; tamariki
2.44	brother	tuŋaane; teina; tuakana
2.444	older brother	tuakana
2.445	younger brother	teina
2.45	sister	tuahine; teina; tuakana
2.454	older sister	tuakana
2.455	younger sister	teina
2.456	sibling	taina/ teina
2.458	twins	maahaŋa
2.46	grandfather	tupuna
2.461	old man	koroua
2.47	grandmother	tipuna
2.471	old woman	hākui; kuia; karawa; rūruhi
2.48	grandson	mokopuna
2.49	granddaughter	mokopuna
2.51	uncle	matua kee-kee
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	whaaea; matua keekee
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	tamaiti; iraamutu
2.54	niece	tamaiti; iraamutu
2.55	cousin	tuŋaane; tuahine; tuakana; teina
2.56	ancestors	tupuna; tipuna
2.57	descendants	uri; aitaŋa
2.61	father-in-law (of a man)	huŋawai; huŋarei
2.611	father-in-law (of a woman)	
2.62	mother-in-law (of a man)	huŋawai; huŋarei
2.621	mother-in-law (of a woman)	
2.63	son-in-law (of a man)	hunaoŋa
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	hunaoŋa
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	
2.74	stepdaughter	
2.75	orphan	pani
2.76	widow	pouaru
2.77	widower	
2.81	relatives, kinsmen	huaaŋa; paaŋa; whanauŋa
2.82	family	whaanau
2.91	I	au; ahau; awau; hau
2.92	you (singular)	koe
2.93	he/she/it	ia; iia
2.94	we	taaua; maaua; taatou; maatou
2.941	we (inclusive)	taa-ou; taa-ua
2.942	we (exclusive)	maa-tau; maa-tou; maa-ua
2.95	you (plural)	koutou
2.96	they	raaua; raatou; taatau
3.11	animal	kararehe
3.12	male (adj)	toa; tame
3.13	female (adj)	uha; uwha
3.15	livestock	kaahui; maapu
3.16	pasture	
3.18	herdsman	heepara
3.19	stable, stall	teepara
3.2	cattle (bovine)	
3.21	bull	[puru]
3.22	ox	okiha
3.23	cow	kau
3.24	calf	kaawhe
3.25	sheep	hipi
3.26	ram	
3.28	ewe	
3.29	lamb	reeme
3.32	boar	taariana; tame poaka
3.34	sow	uwha poaka; whaere-ere
3.35	pig	poaka; pooaka
3.36	goat	koati; nane-nane
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	hooiho
3.42	stallion	taariana
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	kaaihe
3.47	mule	
3.5	fowl	heihei; piikao-kao; tiikao-kao
3.52	cock, rooster	
3.54	hen	hei-hei; piikao-kao; tiikao-kao
3.55	chicken	pii
3.56	goose	kuihi
3.57	duck	raki-raki; paarera
3.58	nest	koo(w)haŋa; oowhaŋa
3.581	bird	manu
3.582	seagull	karoro
3.583	heron	matuku; kootuku
3.584	eagle	
3.585	hawk	kaahu
3.586	vulture	
3.591	bat	peka-peka
3.592	parrot	kaakaa
3.593	crow	kookako
3.594	dove	kereruu; kuu-kuu; kuukupa
3.596	owl	ruru; kou-kou
3.61	dog	kurii; kirehe
3.614	rabbit	raapeti
3.62	cat	ŋeru; tori; [poti]; puuihi
3.622	opossum	paihamu
3.63	mouse, rat	kiore iti; kiore
3.65	fish	ika; ŋohi
3.652	fin (dorsal)	tira; uru-tira
3.653	fishscale	unahi
3.654	gill	piha; puha
3.655	shell	aŋa; kota
3.661	shark	maŋoo
3.662	porpoise, dolphin	tuupou-pou; upokohue
3.663	whale	tohoraa; pakakee; paraaoa; weera
3.664	stingray	whai; paakaurua
3.665	freshwater eel	tuna
3.71	wolf	wuruhi
3.72	lion	raiona
3.73	bear	
3.74	fox	
3.75	deer	tia
3.76	monkey	
3.77	elephant	
3.78	camel	[kaamera]
3.81	insect	peepeke; ŋaarara
3.811	louse	kutu
3.812	nit (louse egg)	riha
3.813	flea	puruhi; keha; tuiau
3.814	centipede	weri
3.815	scorpion	
3.816	cockroach	
3.817	ant	poopokorua
3.818	spider	puuŋaa-were-were
3.819	spider web	tuku-tuku; whare o puuŋaa-were-were
3.82	bee	pii
3.821	beeswax	
3.822	beehive	
3.823	wasp	waapu; waapi
3.83	fly	ŋaro; raŋo
3.831	sandfly (midge), gnat	namu; waeroa; naeroa; nae-nae; nao-nao
3.832	mosquito	waeroa; naeroa; naenae
3.84	worm	toke; noke
3.85	snake	ŋaarara; naakahi; ŋaakahi
3.91	firefly	
3.92	butterfly	peepepe; pepe
3.93	grasshopper	koowhiti-whiti; maawhiti-whiti; paakauroha-roha
3.94	snail	ŋata
3.95	frog	poroka
3.96	lizard	
3.97	crocodile, alligator	
3.98	turtle	
4.11	body	tinana
4.12	skin, hide	kiri; hiako; tapeha; epa-ina; peha
4.13	flesh	kiko-kiko
4.14	hair (head)	makawe; huru
4.142	beard	paahau
4.144	body hair	huru-huru
4.145	pubic hair	
4.146	dandruff	
4.15	blood	toto
4.151	vein, artery	ua-ua
4.16	bone	iwi; wheua
4.162	rib	kao-kao; rara
4.17	horn	haaona
4.18	tail	whiiore; teera
4.19	back	tuaraa; muri
4.191	spine	iwi tuaraa; iwi tuararo
4.2	head	upoko; maateŋa; maahuŋa; maahuna; pane; pane-pane
4.201	side of head, temple	
4.202	skull	aŋa-aŋa
4.203	brain	roro
4.204	face	mata; kanohi
4.205	forehead	rae
4.207	jaw	kauae
4.208	cheek	paapaariŋa
4.209	chin	kauwae
4.21	eye	kanohi; karu; mata; kamo; whatu
4.212	eyebrow	kape; tuke-mata; pewa
4.213	eyelid	rewha
4.214	eyelash	kamo
4.215	blink	kimo
4.22	ear	tariŋa
4.221	earlobe	
4.222	earwax	
4.23	nose	ihu
4.231	nostril	poŋa-ihu; poŋa-poŋa; puta ihu
4.232	mucus (nasal)	mare; kea
4.24	mouth	maaŋai; maŋai; waha
4.241	beak	ŋutu manu; timo
4.25	lip	ŋutu
4.26	tongue	arero
4.27	tooth	niho
4.271	gums	tako; pae niho
4.272	molartooth	
4.28	neck	kakii
4.281	nape of neck	
4.29	throat	koro-koro
4.3	shoulder	pakihiwi; pokohiwi
4.301	shoulderblade	
4.302	collarbone	manu-manu; pae-manu
4.31	arm	riŋa(riŋa); kikowhiti
4.312	armpit	keekee
4.32	elbow	tuketuke-a; whatiaŋa
4.321	wrist	kawititaŋa o te riŋa-riŋa
4.33	hand	riŋa-riŋa; riŋa
4.331	palm of hand	paaroo; kapu
4.34	finger	
4.342	thumb	koromatua; koonui
4.344	fingernail	maikuku; matikuku
4.345	claw	matikuku; maikuku; (ra)rapi-hia
4.35	leg	wae-wae
4.351	thigh	kuu(w)haa; huu(w)haa
4.352	calf of leg	
4.36	knee	turi
4.37	foot	wae-wae
4.371	ankle	pona
4.372	heel	reke-reke
4.374	footprint	tapu-wae
4.38	toe	mati-mati; matikara
4.392	wing	parirau; parihau; paakau; paihau
4.393	feather	hou; huru-huru; piki
4.4	chest	poho; uma
4.41	breast (of woman)	uma; poho; uu
4.412	nipple, teat	komata; uu; titi
4.42	udder	
4.43	navel	pito
4.44	heart	manawa; ŋaakau
4.441	lung	puka-puka
4.45	liver	ate
4.451	kidney	taakihi
4.452	spleen	
4.46	stomach	puku; koopuu; kona
4.461	intestines, guts	puku; wheekau; ŋaakau
4.462	waist	hope
4.463	hip	himu
4.464	buttocks	papa
4.47	womb	koopuu; takotoraŋa tamariki
4.49	testicle	raho
4.492	penis	ure
4.51	breathe, breath	manawa; whaka-ea-ea; haa; ŋaa
4.52	yawn, gape	kohera
4.521	hiccough	tokomauri
4.53	cough	mare; wharo
4.54	sneeze	tihe; matihe
