entry_id	trans_english	Yavitero_Phonemic
1.1	world	eɲahiľ̥i
1.21	earth, land	ka'hac̷i
1.212	earth=ground, soil	
1.213	dust	ha'ľic̷i
1.214	mud	yaini
1.215	sand	ka'hac̷i-na
1.22	mountain, hill	yaha
1.222	cliff, precipice	ewi
1.23	plain, field	ma'tehuľi
1.24	valley	
1.25	island	ka'dunuľi
1.26	mainland	
1.27	shore	
1.28	cave	ha'niľ̥i
1.31	water	weni
1.32	sea	
1.322	calm (of sea)	
1.323	rough (of sea)	
1.324	foam	kawi
1.329	ocean	
1.33	lake	
1.34	gulf, bay	
1.341	lagoon	
1.342	reef	
1.343	headland, point	
1.35	wave	si'ľuľitami
1.352	tide	
1.353	lowtide	
1.354	hightide	
1.36	river, stream, brook	weni
1.362	whirlpool	si'ľuľitami
1.37	spring, well	[poso]
1.38	swamp	
1.39	waterfall	numa-kade weni
1.41	woods, forest	awac̷i
1.42	tree (cf 08.600)	ata
1.43	wood	ata
1.44	stone, rock	siha
1.45	earthquake	
1.51	sky	enu
1.52	sun	ka'muľ̥i
1.53	moon	keľi
1.54	star	wiwinaľi
1.55	lightning	
1.56	thunder	iye enu
1.57	lightning (as striking)	iye enu
1.58	storm	
1.59	rainbow	be'ľ̥uľi
1.61	light (noun)	kamunaha-l̥i
1.62	darkness	ma'ľ̥ete-hi
1.63	shade, shadow	nekami
1.64	dew	[se'renu]
1.71	air	u'wic̷i
1.72	wind	u'wic̷i
1.73	cloud	ľ̥i'aľi-ľi enu
1.74	fog	
1.75	rain (noun)	hawa
1.76	snow (noun)	
1.77	ice	
1.78	weather	eɲahiľ̥i
1.81	fire	kaľ̥i
1.82	flame (noun)	
1.83	smoke (noun)	ľ̥i'aľi; ľ̥i'aľiľi
1.84	ashes	ha'ľic̷i
1.841	embers	kaľ̥i-huľisi
1.851	burn (vb trans)	kaha
1.852	burn (vb intrans)	hukua
1.86	light, kindle, ignite	yuteta
1.861	extinguish	mawata
1.87	match (noun)	[huharu]
1.88	firewood	kaľ̥i
1.89	charcoal	ľ̥e'remaľi
2.1	person, human being	ka'mewa
2.21	man (vs. woman)	enami
2.22	woman	ľ̥a'ľinemi
2.23	male	yuwi-naha
2.24	female	yuwi-si
2.25	boy	maľ̥iani
2.251	young man (adolescent)	maľ̥iani
2.26	girl	
2.261	young woman (adolescent)	
2.27	child	ľ̥ihani
2.28	infant, baby	ke'taľ̥i
2.31	husband	tani
2.32	wife	hiľ̥u
2.33	marry	[kac̷a]
2.34	marriage, wedding	
2.341	divorce	
2.35	father	ihi
2.36	mother	iľ̥uami
2.37	parents	siwani
2.38	married man	ka-'hiľ̥u-daľu
2.39	married woman	ka-'tani-daľu
2.41	son	tain-tani
2.42	daughter	tanimi
2.43	offspring (son or daughter)	
2.44	brother	ic̷i-naha
2.444	older brother	
2.445	younger brother	
2.45	sister	ľ̥inia-naha
2.454	older sister	
2.455	younger sister	
2.456	sibling	dede
2.458	twins	
2.46	grandfather	tusimi
2.461	old man	katene-humi
2.47	grandmother	siyumi
2.471	old woman	katia-humi
2.48	grandson	
2.49	granddaughter	
2.51	uncle	iku
2.511	mother's brother	
2.512	father's brother	
2.52	aunt	ľ̥uteya
2.521	mother's sister	
2.522	father's sister	
2.53	nephew	tanihinaľi
2.54	niece	tanihinaľi
2.55	cousin	[prima, primu]
2.56	ancestors	
2.57	descendants	
2.61	father-in-law (of a man)	matusi
2.611	father-in-law (of a woman)	matusi
2.62	mother-in-law (of a man)	masiu
2.621	mother-in-law (of a woman)	masiu
2.63	son-in-law (of a man)	yanihi
2.631	son-in-law (of a woman)	
2.64	daughter-in-law (of a man)	yanihi-ľ̥u
2.641	daughter-in-law (of a woman)	
2.71	stepfather	
2.72	stepmother	
2.73	stepson	tawinakuľe
2.74	stepdaughter	
2.75	orphan	
2.76	widow	
2.77	widower	
2.81	relatives, kinsmen	haľ̥uhemi
2.82	family	haľ̥uhemi
2.91	I	nuya-ha
2.92	you (singular)	hiya-ha
2.93	he/she/it	ani-hi
2.94	we	waya-ha
2.941	we (inclusive)	
2.942	we (exclusive)	
2.95	you (plural)	niya-ha
2.96	they	anini
3.11	animal	niľ̥i
3.12	male (adj)	
3.13	female (adj)	
3.15	livestock	
3.16	pasture	yewaľi
3.18	herdsman	
3.19	stable, stall	
3.2	cattle (bovine)	[baka]
3.21	bull	[toro; turu]
3.22	ox	
3.23	cow	[baka]
3.24	calf	[baka-sani]
3.25	sheep	
3.26	ram	
3.28	ewe	
3.29	lamb	
3.32	boar	
3.34	sow	
3.35	pig	[kuc̷i]
3.36	goat	
3.37	he-goat	
3.38	kid	
3.41	horse (equine)	[ka'wayu]
3.42	stallion	
3.44	mare	
3.45	foal, colt	
3.46	ass, donkey	[bur̃u]
3.47	mule	[muľa]
3.5	fowl	
3.52	cock, rooster	ku'ame
3.54	hen	ku'ame
3.55	chicken	ku'ame-sani
3.56	goose	
3.57	duck	[patu]
3.58	nest	hana niľ̥i
3.581	bird	niľ̥i
3.582	seagull	
3.583	heron	maľi; a'ľahuľi
3.584	eagle	
3.585	hawk	ku'kuwi
3.586	vulture	
3.591	bat	wayu
3.592	parrot	ku'ľi-kuľi
3.593	crow	
3.594	dove	c̷uc̷ubu
3.596	owl	ma'kuku
3.61	dog	ku'aiľ̥i
3.614	rabbit	[ko'neho]
3.62	cat	[gatu]
3.622	opossum	
3.63	mouse, rat	a'ľamuľu
3.65	fish	simasi
3.652	fin (dorsal)	[haľeta-]ne
3.653	fishscale	
3.654	gill	aľawataľe
3.655	shell	
3.661	shark	
3.662	porpoise, dolphin	
3.663	whale	
3.664	stingray	ya'hiwe
3.665	freshwater eel	c̷ihuľi
3.71	wolf	
3.72	lion	
3.73	bear	
3.74	fox	
3.75	deer	ma'tahiyu
3.76	monkey	
3.77	elephant	
3.78	camel	
3.81	insect	
3.811	louse	
3.812	nit (louse egg)	
3.813	flea	c̷u'ida
3.814	centipede	
3.815	scorpion	c̷ec̷e
3.816	cockroach	ku'maľaľa
3.817	ant	ka'wihic̷u
3.818	spider	uľu
3.819	spider web	hana-'uľu
3.82	bee	maha
3.821	beeswax	maha-c̷ia
3.822	beehive	
3.823	wasp	ani
3.83	fly	hu'ľec̷iľu
3.831	sandfly (midge), gnat	kawiyu
3.832	mosquito	ma'hiti
3.84	worm	keni ka'hac̷i
3.85	snake	u'meni
3.91	firefly	
3.92	butterfly	kahuľi
3.93	grasshopper	
3.94	snail	[kara'koľu]
3.95	frog	tu'kutua
3.96	lizard	ku'itu
3.97	crocodile, alligator	[kai'manu]
3.98	turtle	mata-'matu
4.11	body	minana-ha
4.12	skin, hide	itamaka
4.13	flesh	
4.14	hair (head)	mau
4.142	beard	ľ̥anuma
4.144	body hair	ic̷u
4.145	pubic hair	ľ̥aľiu
4.146	dandruff	
4.15	blood	miyani
4.151	vein, artery	demuhiaľe
4.16	bone	ihi-u
4.162	rib	hatahe
4.17	horn	kac̷u
4.18	tail	hiľ̥i
4.19	back	tuľi
4.191	spine	tuľi-ahi
4.2	head	sihu
4.201	side of head, temple	
4.202	skull	ihi-u sihu
4.203	brain	keľ̥ua
4.204	face	hunaha
4.205	forehead	tasisi
4.207	jaw	
4.208	cheek	kaku
4.209	chin	
4.21	eye	huľisi
4.212	eyebrow	dawiľ̥a
4.213	eyelid	itamaka huľisi
4.214	eyelash	huľ̥aľawite
4.215	blink	ma-huľisi-ta
4.22	ear	tasine
4.221	earlobe	
4.222	earwax	
4.23	nose	siwi
4.231	nostril	huľisi siwi
4.232	mucus (nasal)	munduľ̥iaľe
4.24	mouth	numa
4.241	beak	siwi
4.25	lip	tuľehi
4.26	tongue	tate
4.27	tooth	eľ̥i
4.271	gums	mic̷i eľ̥i
4.272	molartooth	kuwaľ̥e
4.28	neck	inu
4.281	nape of neck	tusiwa
4.29	throat	kanasi
4.3	shoulder	kuľuhasi
4.301	shoulderblade	ihi-u
4.302	collarbone	bu'anaľe
4.31	arm	kanu
4.312	armpit	tanaye
4.32	elbow	tukunaľe
4.321	wrist	c̷ate
4.33	hand	kahahi
4.331	palm of hand	ku'e kahahi
4.34	finger	kahahi
4.342	thumb	
4.344	fingernail	c̷uľawi
4.345	claw	c̷uľawi
4.35	leg	kuc̷u
4.351	thigh	kuc̷u
4.352	calf of leg	kawa
4.36	knee	situ
4.37	foot	c̷ic̷i
4.371	ankle	
4.372	heel	kuľuhasi
4.374	footprint	ehunahami
4.38	toe	c̷ic̷i
4.392	wing	tanahasi
4.393	feather	ic̷u
4.4	chest	tuc̷i
4.41	breast (of woman)	c̷ini
4.412	nipple, teat	
4.42	udder	c̷ini
4.43	navel	munde
4.44	heart	huwite
4.441	lung	
4.45	liver	hane
4.451	kidney	[r̃iɲu]
4.452	spleen	
4.46	stomach	huwite
4.461	intestines, guts	c̷i'a-hi
4.462	waist	kenani
4.463	hip	gud͜zabaľe
4.464	buttocks	naita
4.47	womb	
4.49	testicle	inesi
4.492	penis	isi
4.51	breathe, breath	c̷uha
4.52	yawn, gape	hahahata
4.521	hiccough	
4.53	cough	ľ̥ukumaha
4.54	sneeze	hac̷iuta
4.55	perspire	haľ̥ata
4.56	spit	kuma
4.57	vomit	tesia
4.58	bite	tata
4.59	lick	yuta
4.591	dribble	
4.61	sleep	c̷ima
4.612	snore	dara
4.62	dream	tahuni
4.63	wake up	kawiha-ta
4.64	break wind	hama; heya
4.65	urinate	teya
4.66	defecate	ya
4.67	have sexual intercourse	yuwi; wehasi
4.68	shiver	hihia
4.69	bathe	kawa
4.71	beget (of father)	
4.72	born (to be)	hic̷ika
4.73	pregnant	ka'tuhuyu
4.732	conceive	
4.74	live, living, life	hac̷ika
4.75	die, dead	wiyua
4.751	drowned	
4.76	kill	ma
4.77	corpse	wi'nanaľ̥i
4.78	bury (the dead)	hihita
4.79	grave, tomb	hihita-kade
4.81	strong, mighty, powerful	si'upa-hi
4.82	weak	hata si'upa-hi
4.83	well, health	yunihi
4.84	sick, sickness	ma'ľ̥ikaľi
4.841	fever	huľ̥imi
4.842	goiter	
4.843	cold (catarrh)	ma'tuc̷i
4.85	wound, sore	c̷anaha
4.852	bruise	wauľana
4.853	swelling	hata
4.854	itch	
4.855	blister	bumba
4.856	boil (noun)	
4.857	pus	
4.858	scar	ehunahami
4.86	cure, heal	hinaha-ta
4.87	physician	hi'naha-ta-ľi
4.88	medicine, drug	hinaha-ľ̥i
4.89	poison	wiyu'aľi
4.91	tired, weary	teľeka-hi
4.912	rest	[kansa] yeľ̥a
4.92	lazy	me'hehi-hi
4.93	bald	ka'budane
4.94	lame	heľ̥u-hi
4.95	deaf	d͜zewi-hi
4.96	mute	[mudu]
4.97	blind	mebu-hi
4.98	intoxicated	kama-hi
4.99	naked, bare	wa'ľaľa-hi
5.11	eat	eɲa; na
5.12	food	ahic̷iľ̥i
5.121	cooked	
5.122	raw	mi'yani-hi
5.123	ripe	sitami
5.124	green, unripe	hemini-hi
5.125	rotten	weteheta
5.13	drink	ľ̥iya
5.14	hunger	ma'waľi
5.141	famine	
5.15	thirst	ma'kaľeľ̥i
5.16	suck	ľ̥iya
5.18	chew	ľ̥amua
5.181	swallow	kutusita
5.19	choke	
5.21	cook	hahua
5.22	boil (vb)	hahua
5.23	roast, fry	hateta; tema
5.24	bake	tema
5.25	oven	
5.26	pot, cooking vessel	aniuľ̥i
5.27	kettle	
5.28	pan	[paľan'gana]
5.31	dish	aniuľ̥i
5.32	plate	[ha'ľatu]
5.33	bowl	
5.34	pitcher, jug	wanana
5.35	cup, drinking vessel	ma'huwa
5.36	saucer	
5.37	spoon	[ku'c̷ara]
5.38	knife	[ku'c̷iyu]
5.39	fork	
5.391	tongs	
5.41	meal (a)	
5.42	breakfast	
5.43	lunch	
5.44	dinner	
5.45	supper	
5.46	peel	
5.47	sieve, strain	c̷u'ayuta
5.48	scrape	c̷aluka
5.49	stir, mix	waľ̥ata
5.51	bread	a'husi
5.53	dough	iheľ̥i
5.54	knead	c̷ukuta
5.55	meal, flour	ľ̥i'weľ̥i
5.56	crush, grind	muluka
5.57	mill	
5.58	mortar	
5.59	pestle	wi'yaľ̥i
5.61	meat	mic̷i
5.63	sausage	
5.64	soup, broth	iha
5.65	vegetables	atasi
5.66	bean	ku'mana
5.7	potato	
5.71	fruit	atasi
5.712	bunch	
5.75	fig	--
5.76	grape	--
5.77	nut	
5.78	olive	--
5.79	oil	[a'seite]
5.791	grease, fat	mungu; c̷ita
5.81	salt	yu'kira
5.82	pepper	
5.821	chili pepper	a'c̷ic̷i
5.84	honey	iha maha
5.85	sugar	[a'suka]
5.86	milk (noun)	[ľeči]
5.87	milk (vb)	tahiha
5.88	cheese	--
5.89	butter	--
5.9	beverage, drink	
5.91	mead	
5.92	wine	
5.93	beer	
5.94	fermented drink	ya'ľaki
5.97	egg	inesi-naha
5.971	egg yolk	
6.11	put on (clothes)	haľakawa
6.12	clothing, clothes	nawa
6.13	tailor	--
6.21	cloth	
6.22	wool	
6.23	linen, flax	--
6.24	cotton	
6.25	silk	--
6.27	felt	--
6.28	fur	
6.29	leather	itamaka
6.31	spin	
6.32	spindle	
6.33	weave	
6.34	loom	
6.35	sew	huc̷uka
6.36	needle	awi; hawi
6.37	awl	
6.38	thread	[iľu]
6.39	dye	
6.41	cloak	
6.411	poncho	
6.42	woman's dress	
6.43	coat	--
6.44	shirt	[ka'mic̷a]
6.45	collar	
6.46	skirt	nawa
6.461	grass-skirt	--
6.48	trousers	[ka'c̷una]
6.49	stocking, sock	--
6.51	shoe	[c̷a'hatu]
6.52	boot	--
6.54	shoemaker, cobbler	--
6.55	hat, cap	c̷a'hewa
6.57	belt, girdle	
6.58	glove	--
6.59	veil	--
6.61	pocket	
6.62	button	[bu'tun]a
6.63	pin	
6.71	ornament, adornment	waľiha
6.72	jewel	--
6.73	ring (for finger)	
6.74	bracelet	
6.75	necklace	
6.76	bead	
6.77	earring	
6.78	headband, headdress	
6.79	tattoo	
6.81	handkerchief, rag	[ha'niweľu]
6.82	towel	
6.91	comb	'wiľ̥a
6.92	brush	[se'piyu]
6.921	braid	c̷imanaha
6.93	razor	
6.94	ointment	
6.95	soap	[a'buni]
6.96	mirror	yahu
7.11	dwell, live	
7.12	house	hana; huwi
7.13	hut	
7.131	garden-house	
7.14	tent	
7.15	yard, court	
7.16	men's house	
7.17	cookhouse	hahua-kade
7.18	meeting house	
7.21	room	[kwartu]
7.22	door, gate	ha'niľ̥i-huľisi
7.221	doorpost, jamb	
7.23	lock (noun)	
7.231	latch, door-bolt	
7.24	key	
7.25	window	ha'niľ̥i-huľisi
7.26	floor	hunaha ha'niľ̥i
7.27	wall	yaini
7.31	fireplace	
7.32	stove	
7.33	chimney	
7.37	ladder	
7.42	bed	[kama]
7.421	pillow	
7.422	blanket	[ku'iha]
7.43	chair	[si'ye]ta
7.44	table	['mesa]
7.45	lamp, torch	kaľ̥i-huľisi
7.46	candle	
7.47	shelf	
7.48	trough	
7.51	roof	hu'nec̷i
7.52	thatch	
7.53	ridgepole	
7.54	rafter	
7.55	beam	bu'anaľe
7.56	post, pole	ma'ľ̥aha
7.57	board	[tabuľa]
7.58	arch	--
7.61	mason	--
7.62	brick	
7.63	mortar	
7.64	adobe	
8.11	farmer	minaľi mi'yuľi
8.12	field (for cultivation)	
8.13	garden	
8.15	cultivate, till	watuta
8.16	fence	[ku'rara ~ ku'ľaľa]
8.17	ditch	
8.21	plow	
8.212	furrow	
8.22	dig	hana ka'hac̷i
8.23	spade	
8.24	shovel	[pala]
8.25	hoe	
8.26	fork	
8.27	rake	
8.31	sow	
8.311	seed	isi-naha
8.32	mow, reap	
8.33	sickle, scythe	
8.34	thresh	
8.35	threshing-floor	--
8.41	crop, harvest	c̷unuha
8.42	grain (barley, oats etc)	ľ̥ina; mulusi
8.43	wheat	
8.44	barley	
8.45	rye	
8.46	oats	[abena]
8.47	maize, corn	kana
8.48	rice	[a'r̃u]
8.51	grass	yewaľi
8.52	hay	yewaľi
8.53	plant (noun)	
8.531	plant (vb)	watuta
8.54	root	iwinaha
8.55	branch	kanu ata
8.56	leaf	hasi
8.57	flower	[ľ̥ore]
8.6	tree	ata
8.61	oak	--
8.62	beech	--
8.63	birch	--
8.64	pine	--
8.65	fir	--
8.66	acorn	--
8.67	vine	
8.68	tobacco	yema
8.69	smoke (tobacco)	kainta
8.691	pipe	
8.72	tree stump	
8.73	tree trunk	kuluhasi
8.74	forked branch	
8.75	bark	ka'muľ̥ita
8.76	sap	kaľ̥i ata
8.81	palm tree	hu'nec̷i
8.82	coconut	[koko]
8.83	citrus fruit	[ľi'muni]
8.84	banana tree	[ha'ľatana]
8.85	banyan	--
8.91	sweet potato	eľu; ba'tata
8.912	yam	biľina
8.92	tapioca, manioc, cassava	kaľ̥esi
8.93	gourd	ku'asi
8.931	pumpkin, squash	u'wiyama
